iso3,year,gdelt_events_Aid/Cooperation,gdelt_events_Conflict/Migration,gdelt_events_Disapproval/Sanction,gdelt_events_Other,gdelt_events_Protest,gdelt_goldstein_Aid/Cooperation,gdelt_goldstein_Conflict/Migration,gdelt_goldstein_Disapproval/Sanction,gdelt_goldstein_Other,gdelt_goldstein_Protest,gdelt_tone_Aid/Cooperation,gdelt_tone_Conflict/Migration,gdelt_tone_Disapproval/Sanction,gdelt_tone_Other,gdelt_tone_Protest
IDN,2000,89466,30579,31558,137164,4955,3.0132360226231194,-9.830728768108832,-3.088142879776919,0.9635407614242805,-5.135121089808274,5.150253202333848,3.4033882075934465,4.835818809810508,4.751689080225132,4.59539576185671
IDN,2005,87303,33510,34380,143083,5679,3.024397638110947,-9.874121874067441,-2.8678138452588713,0.6135062306493433,-5.453518401126959,5.098430237219798,3.413984989555357,4.496456660849331,4.531497606284464,4.523845571403417
IDN,2010,179779,41504,54285,292485,7983,3.030995516717748,-9.86830136854279,-2.9666522980565535,1.0662790057609792,-5.221890392083177,5.428802969201074,3.811110519468003,4.778465045592706,4.845014872557567,4.516204058624577
IDN,2015,430418,75507,118862,638661,16149,3.007118789177033,-9.838508045611665,-3.053249835944204,1.2496056546430738,-5.057590191343118,2.343627053236621,0.6786558332340047,1.5004582793491612,1.7024709321533649,1.0676502569818564
IDN,2020,471575,87005,117140,660724,19019,2.9553810464931347,-9.803545118096663,-2.9979911388082634,1.2207715188187505,-5.117506230611493,-0.7611765106292742,-5.62555951956784,-3.399502697626772,-2.427401872794087,-4.293443977075556
IDN,2024,284081,28388,46196,323933,6456,2.9692252209757077,-9.811033781879667,-3.0590325785782317,1.885390522114141,-4.847414807930607,0.43969639997043103,-4.6229217979427935,-2.4102387436141655,-1.0159230921209015,-3.2190676889714993
MYS,2000,44819,5123,12098,55154,1374,2.98595573305964,-9.570254538356432,-3.010617292114399,1.2665885339231968,-4.977566957787482,5.294048439277986,4.088287917235994,4.8419447842618615,4.869786923885847,4.734012372634643
MYS,2005,50060,5961,13410,63908,1947,3.207827586895725,-9.783979365878208,-2.932650782997763,1.1210462226951243,-5.232781715459682,5.674432620854974,3.919475423586647,5.014379567486949,5.110488530387432,4.795775552131484
MYS,2010,170269,21824,56596,270981,6022,3.1396129712396266,-9.824334677419353,-3.068571842533041,1.50855168443544,-4.978233477250083,5.998671102784417,4.231349248533724,5.390371651706834,5.563753274214798,5.194158087014281
MYS,2015,503165,82438,174927,809278,19217,3.032715719495593,-9.819066243722556,-3.0673840744996483,1.4206301975340982,-4.943038299422386,2.251470662705077,0.655083201921444,1.380804186889388,1.6543529775923722,1.1278931675079358
MYS,2020,554597,84576,203878,928900,22199,2.9962485588634626,-9.802229592319334,-3.044736724904109,1.5449739562923888,-4.977756925987657,-0.7101467407865532,-4.507078745743474,-2.6292628336554213,-1.9663752976639033,-3.080765484931754
MYS,2024,243629,23237,71899,377183,7435,3.008130033780872,-9.825897749279166,-3.1166597171031585,1.7964723648732843,-4.871360995292536,0.6236611076678064,-3.7869717691612514,-2.0549860776923183,-1.0794472179286978,-2.4596367182246133
USA,2000,593450,81646,184568,731674,25885,3.123768170865279,-9.838519658035912,-3.0275435611807024,1.6259964068697261,-5.193709252462816,6.185644495745218,4.961240734389927,5.854567823241298,5.921588562665886,5.731283755070504
USA,2005,727039,179607,277577,1049175,45823,3.0786581242546824,-9.843572048973593,-2.932456186931914,1.3929870212309672,-5.406866791785784,6.060406605422817,4.6192868986175375,5.649506126228037,5.740752679009698,5.488866246208236
USA,2010,5569743,1333507,1939039,9069452,244849,2.9918327689446356,-9.823617588809057,-2.9139958917793813,1.6848332153916248,-5.119627844099832,6.040500477670156,4.286579361788126,5.417418132899853,5.6438913675269475,5.256125542681408
USA,2015,21793021,5984167,7141498,35300497,871756,2.9068046169918342,-9.805739389960205,-2.9220778860401557,1.5571721913716967,-5.110309255112669,2.8955473615613,0.7653530152149833,1.7793787023394814,2.173010887778719,1.5645354411096684
USA,2020,30910258,7949954,10383396,49577909,1331632,2.9004708230516876,-9.793128167282477,-2.909113170777653,1.5574066687645094,-5.072666328234828,-0.6495832994988266,-4.721766826197988,-3.0987308308380035,-2.1323201026892846,-3.4344018580208346
USA,2024,16539764,4343962,5531533,26506799,686317,2.8985314524439403,-9.803361880697851,-2.9376101194732094,1.5103163801106276,-5.048722960381281,-0.6252916089371044,-4.920067939820836,-3.3311991475057634,-2.2637900778966182,-3.7068635339063434
