iso3,year_window,category,total_event_count,goldstein_wavg,tone_wavg
AFG,2000,Aid/Cooperation,55838,3.350279881084566,5.273762384039544
AFG,2000,Conflict/Migration,22923,-9.875108101033897,3.737413951053527
AFG,2000,Disapproval/Sanction,13241,-3.038943282229439,4.8649972811721165
AFG,2000,Other,56331,1.612152828815395,4.964630150361257
AFG,2000,Protest,2308,-5.436750433275564,4.763665077989602
AFG,2005,Aid/Cooperation,193939,3.00666589494635,5.484455596862933
AFG,2005,Conflict/Migration,79069,-9.875837180184396,3.6623213901781986
AFG,2005,Disapproval/Sanction,47640,-2.9148768261964735,4.971895256087321
AFG,2005,Other,239453,1.544496991058788,5.072714123439673
AFG,2005,Protest,8807,-5.479001816736687,5.049305552401499
AFG,2010,Aid/Cooperation,461064,3.0304221496364927,5.300836296045669
AFG,2010,Conflict/Migration,420476,-9.883702192277324,3.3751937875170044
AFG,2010,Disapproval/Sanction,167877,-2.8439855370300875,4.586475490984471
AFG,2010,Other,751875,1.7407440611803826,4.814998098088113
AFG,2010,Protest,33370,-5.347442583158526,4.715400659274798
AFG,2015,Aid/Cooperation,762060,3.225561900637745,2.5265101474949483
AFG,2015,Conflict/Migration,528236,-9.896336050553161,0.6851069673403557
AFG,2015,Disapproval/Sanction,230956,-2.8504453748766,1.3654530689828366
AFG,2015,Other,1009718,1.8150148932672292,1.8481112112490816
AFG,2015,Protest,42438,-5.380908054102456,1.2799095150572601
AFG,2020,Aid/Cooperation,762290,3.2421471356045597,-1.8014046019231524
AFG,2020,Conflict/Migration,493176,-9.88367280037958,-6.310941748990218
AFG,2020,Disapproval/Sanction,242649,-2.892413943597542,-4.414518633911535
AFG,2020,Other,979555,1.846640418353232,-3.386739818591095
AFG,2020,Protest,43507,-5.328077849541454,-4.638624658100995
AFG,2024,Aid/Cooperation,444451,2.945331777856276,-1.9670248418835823
AFG,2024,Conflict/Migration,161088,-9.855059669249105,-5.255678300059594
AFG,2024,Disapproval/Sanction,132051,-3.0110900864060097,-4.072272016114986
AFG,2024,Other,643933,2.1316820305839275,-3.1289631312574446
AFG,2024,Protest,28394,-5.181071282665352,-4.423251708107347
ARG,2000,Aid/Cooperation,32596,3.190576512455516,5.578618726224076
ARG,2000,Conflict/Migration,3333,-9.776171617161715,4.096478547854786
ARG,2000,Disapproval/Sanction,7115,-3.1766269852424456,4.937179198875615
ARG,2000,Other,32199,1.6680308705239293,5.08588602130501
ARG,2000,Protest,807,-5.420819083023544,4.826639405204461
ARG,2005,Aid/Cooperation,23503,3.0518906948049187,5.6584105433348935
ARG,2005,Conflict/Migration,3042,-9.743860946745562,4.057995726495727
ARG,2005,Disapproval/Sanction,6584,-3.109955042527339,4.899522782503038
ARG,2005,Other,28310,1.3407854821617804,5.111738290356764
ARG,2005,Protest,657,-5.330634703196347,4.687445966514459
ARG,2010,Aid/Cooperation,59783,3.129938142950337,5.341030811434688
ARG,2010,Conflict/Migration,9098,-9.759231039788965,4.302445152780831
ARG,2010,Disapproval/Sanction,16007,-2.990215968013994,4.752237770975198
ARG,2010,Other,80068,1.3304789928560725,4.352538292451417
ARG,2010,Protest,1400,-5.343172857142858,4.577491428571428
ARG,2015,Aid/Cooperation,134240,3.0829659713945174,2.718277421036949
ARG,2015,Conflict/Migration,22839,-9.805948246420597,0.9380816585664871
ARG,2015,Disapproval/Sanction,40803,-2.8612252285371174,1.54322684606524
ARG,2015,Other,159219,1.634762572306069,2.0775866448099785
ARG,2015,Protest,4307,-5.099334339447411,1.8422331088925006
ARG,2020,Aid/Cooperation,161331,3.0742703200252897,-0.6044148489750886
ARG,2020,Conflict/Migration,20727,-9.795175326868335,-4.05669093452984
ARG,2020,Disapproval/Sanction,34205,-2.940523900014618,-3.0873673147200704
ARG,2020,Other,178241,1.8655182982590988,-1.692400042638899
ARG,2020,Protest,3861,-5.132293188293188,-2.794826987826988
ARG,2024,Aid/Cooperation,76696,3.11757094242203,-0.14229756441013872
ARG,2024,Conflict/Migration,9971,-9.798725604252331,-3.9254471968709255
ARG,2024,Disapproval/Sanction,17306,-2.897763087946377,-2.794872067491043
ARG,2024,Other,83053,1.792937810795516,-1.4903697398047029
ARG,2024,Protest,1973,-5.201747592498732,-3.182775468829194
AUS,2000,Aid/Cooperation,36318,3.169785615948015,5.846183545349414
AUS,2000,Conflict/Migration,2157,-9.77174779786741,4.32354705609643
AUS,2000,Disapproval/Sanction,8332,-3.055577412385982,6.009985717714835
AUS,2000,Other,36430,1.3496210540763105,5.731874444139446
AUS,2000,Protest,1354,-5.017000738552437,6.233169867060561
AUS,2005,Aid/Cooperation,26317,3.1915070866740134,5.764781624045294
AUS,2005,Conflict/Migration,1802,-9.813189789123197,4.3760377358490565
AUS,2005,Disapproval/Sanction,5857,-3.1303523988389963,5.63712224688407
AUS,2005,Other,26130,1.5489068503635668,5.378880290853426
AUS,2005,Protest,639,-5.100383411580594,5.402209702660407
AUS,2010,Aid/Cooperation,65827,3.2227584122016797,5.708502787609947
AUS,2010,Conflict/Migration,8423,-9.714502196367091,4.127381574260952
AUS,2010,Disapproval/Sanction,14765,-2.997555706061632,5.081472536403658
AUS,2010,Other,86352,1.393155607281823,5.176012622753381
AUS,2010,Protest,2060,-5.12691213592233,4.840848058252428
AUS,2015,Aid/Cooperation,177938,3.324184895862604,1.6198536344119863
AUS,2015,Conflict/Migration,18422,-9.783476658343284,-0.08168499620019559
AUS,2015,Disapproval/Sanction,32217,-3.047976596206972,1.13470403824068
AUS,2015,Other,184744,1.6683878393885592,1.3157854274022431
AUS,2015,Protest,4383,-5.0434923568332195,0.3064207164042892
AUS,2020,Aid/Cooperation,217596,3.1179106049743557,-0.6241692724130958
AUS,2020,Conflict/Migration,26741,-9.782015182678284,-4.135320332074343
AUS,2020,Disapproval/Sanction,48005,-2.9952760962399756,-2.681196125403604
AUS,2020,Other,249174,1.66607620779054,-1.803129720596852
AUS,2020,Protest,7292,-5.052839413055402,-3.528842155787164
AUS,2024,Aid/Cooperation,115125,3.3271137546145497,-0.2668342410423452
AUS,2024,Conflict/Migration,11500,-9.844988173913043,-3.913998869565218
AUS,2024,Disapproval/Sanction,22338,-2.989606455367535,-2.33628717879846
AUS,2024,Other,113835,1.5952112267755962,-1.5290919752273027
AUS,2024,Protest,3133,-5.1394111075646345,-3.6954171720395785
BGD,2000,Aid/Cooperation,787,2.69854002541296,5.75315374841169
