iso3,year,gdelt_events_Aid/Cooperation,gdelt_events_Conflict/Migration,gdelt_events_Disapproval/Sanction,gdelt_events_Other,gdelt_events_Protest,gdelt_goldstein_Aid/Cooperation,gdelt_goldstein_Conflict/Migration,gdelt_goldstein_Disapproval/Sanction,gdelt_goldstein_Other,gdelt_goldstein_Protest,gdelt_tone_Aid/Cooperation,gdelt_tone_Conflict/Migration,gdelt_tone_Disapproval/Sanction,gdelt_tone_Other,gdelt_tone_Protest
AFG,2000,55838,22923,13241,56331,2308,3.350279881084566,-9.875108101033897,-3.038943282229439,1.612152828815395,-5.436750433275564,5.273762384039544,3.737413951053527,4.8649972811721165,4.964630150361257,4.763665077989602
AFG,2005,193939,79069,47640,239453,8807,3.00666589494635,-9.875837180184396,-2.9148768261964735,1.544496991058788,-5.479001816736687,5.484455596862933,3.6623213901781986,4.971895256087321,5.072714123439673,5.049305552401499
AFG,2010,461064,420476,167877,751875,33370,3.0304221496364927,-9.883702192277324,-2.8439855370300875,1.7407440611803826,-5.347442583158526,5.300836296045669,3.3751937875170044,4.586475490984471,4.814998098088113,4.715400659274798
AFG,2015,762060,528236,230956,1009718,42438,3.225561900637745,-9.896336050553161,-2.8504453748766,1.8150148932672292,-5.380908054102456,2.5265101474949483,0.6851069673403557,1.3654530689828366,1.8481112112490816,1.2799095150572601
AFG,2020,762290,493176,242649,979555,43507,3.2421471356045597,-9.88367280037958,-2.892413943597542,1.846640418353232,-5.328077849541454,-1.8014046019231524,-6.310941748990218,-4.414518633911535,-3.386739818591095,-4.638624658100995
AFG,2024,444451,161088,132051,643933,28394,2.945331777856276,-9.855059669249105,-3.0110900864060097,2.1316820305839275,-5.181071282665352,-1.9670248418835823,-5.255678300059594,-4.072272016114986,-3.1289631312574446,-4.423251708107347
ARG,2000,32596,3333,7115,32199,807,3.190576512455516,-9.776171617161715,-3.1766269852424456,1.6680308705239293,-5.420819083023544,5.578618726224076,4.096478547854786,4.937179198875615,5.08588602130501,4.826639405204461
ARG,2005,23503,3042,6584,28310,657,3.0518906948049187,-9.743860946745562,-3.109955042527339,1.3407854821617804,-5.330634703196347,5.6584105433348935,4.057995726495727,4.899522782503038,5.111738290356764,4.687445966514459
ARG,2010,59783,9098,16007,80068,1400,3.129938142950337,-9.759231039788965,-2.990215968013994,1.3304789928560725,-5.343172857142858,5.341030811434688,4.302445152780831,4.752237770975198,4.352538292451417,4.577491428571428
ARG,2015,134240,22839,40803,159219,4307,3.0829659713945174,-9.805948246420597,-2.8612252285371174,1.634762572306069,-5.099334339447411,2.718277421036949,0.9380816585664871,1.54322684606524,2.0775866448099785,1.8422331088925006
ARG,2020,161331,20727,34205,178241,3861,3.0742703200252897,-9.795175326868335,-2.940523900014618,1.8655182982590988,-5.132293188293188,-0.6044148489750886,-4.05669093452984,-3.0873673147200704,-1.692400042638899,-2.794826987826988
ARG,2024,76696,9971,17306,83053,1973,3.11757094242203,-9.798725604252331,-2.897763087946377,1.792937810795516,-5.201747592498732,-0.14229756441013872,-3.9254471968709255,-2.794872067491043,-1.4903697398047029,-3.182775468829194
AUS,2000,36318,2157,8332,36430,1354,3.169785615948015,-9.77174779786741,-3.055577412385982,1.3496210540763105,-5.017000738552437,5.846183545349414,4.32354705609643,6.009985717714835,5.731874444139446,6.233169867060561
AUS,2005,26317,1802,5857,26130,639,3.1915070866740134,-9.813189789123197,-3.1303523988389963,1.5489068503635668,-5.100383411580594,5.764781624045294,4.3760377358490565,5.63712224688407,5.378880290853426,5.402209702660407
AUS,2010,65827,8423,14765,86352,2060,3.2227584122016797,-9.714502196367091,-2.997555706061632,1.393155607281823,-5.12691213592233,5.708502787609947,4.127381574260952,5.081472536403658,5.176012622753381,4.840848058252428
AUS,2015,177938,18422,32217,184744,4383,3.324184895862604,-9.783476658343284,-3.047976596206972,1.6683878393885592,-5.0434923568332195,1.6198536344119863,-0.08168499620019559,1.13470403824068,1.3157854274022431,0.3064207164042892
AUS,2020,217596,26741,48005,249174,7292,3.1179106049743557,-9.782015182678284,-2.9952760962399756,1.66607620779054,-5.052839413055402,-0.6241692724130958,-4.135320332074343,-2.681196125403604,-1.803129720596852,-3.528842155787164
AUS,2024,115125,11500,22338,113835,3133,3.3271137546145497,-9.844988173913043,-2.989606455367535,1.5952112267755962,-5.1394111075646345,-0.2668342410423452,-3.913998869565218,-2.33628717879846,-1.5290919752273027,-3.6954171720395785
BGD,2000,787,232,374,1192,34,2.69854002541296,-9.876987068965516,-2.8717326203208557,1.246353187919463,-5.517470588235294,5.75315374841169,4.259978448275862,5.604336898395721,5.6095,4.618
BGD,2005,871,207,402,1615,46,2.8354408725602758,-9.77049275362319,-2.987542288557214,0.8242687306501548,-4.656521739130436,5.634955223880596,4.048502415458937,5.491104477611941,5.349939318885449,5.76804347826087
BGD,2010,19225,5501,6153,33790,772,3.0851559947984395,-9.767041265224506,-2.8871922639362912,1.2753736312518495,-4.914432642487046,5.833573836150845,3.9178763861116157,5.022085161709735,5.310710417283221,4.915040155440415
BGD,2015,32859,6755,8534,50649,1154,2.9510398977449097,-9.772036269430053,-2.953366182329505,1.5098235503168869,-4.799653379549394,3.8463448065978882,2.8620016284233905,3.2006696742441996,3.4220820944145,2.685522530329289
BGD,2020,39730,3702,8697,53158,1208,2.9593463377800155,-9.788017828200974,-3.083523053926641,1.8433599458218897,-4.755137417218543,0.7319108482255222,-2.9721307401404644,-1.5764522249051398,-0.6454392753677716,-2.545872516556291
BGD,2024,27003,2138,5214,33108,1022,2.951649001962745,-9.81233395696913,-3.0899888761028005,2.0537006161652775,-4.73551663405088,1.453234862793023,-2.498752572497662,-1.5046238971998465,-0.07874075752084085,-1.5981232876712328
BRA,2000,36727,3926,7969,38914,778,3.1604525008849076,-9.818130412633723,-3.100689672480863,2.1283943310890683,-5.214088688946015,5.531624880877828,3.9958178807947022,5.284939013678002,5.211218327594182,5.267133676092545
BRA,2005,36701,5551,7102,38467,817,2.9828639001662083,-9.851693388578635,-3.0119031258800337,1.7623945719707799,-5.133697674418605,5.860659954769625,3.7224768510178348,5.347855392847085,5.402921933085501,5.351449204406364
BRA,2010,130927,17233,26523,175635,3137,3.1124329206351633,-9.846597980618581,-3.010369980771406,1.7248457198166651,-5.15008798214855,5.18064089148915,4.004998839435966,4.830440938053765,4.487165394141259,4.922030283710552
BRA,2015,238697,33843,57969,316558,6598,3.0231622642932257,-9.834096090772094,-2.9547434835860544,1.9184179834343156,-4.958356471658079,3.0238709409837576,1.041587595662323,1.4918266487260432,2.168790780836371,1.53996059411943
BRA,2020,335589,67098,113795,507408,15263,3.0273154364415995,-9.82226513457927,-2.908753697438376,1.5217161022293695,-5.019444342527681,-1.2170938230990884,-4.678509076276491,-3.475605685662815,-2.3743454852899437,-3.7482116228788573
BRA,2024,211051,31974,53010,261681,7034,3.0291905416226412,-9.844374741977857,-2.915883965289568,1.6511830472980462,-4.979181546772818,-0.5023498443504177,-4.277066804278476,-2.970857083569138,-1.8190544670801474,-3.3105386693204437
BRN,2000,2720,218,469,2313,38,3.1044963235294114,-9.759426605504586,-3.0276950959488276,1.5824245568525726,-5.026552631578948,6.078740073529412,4.276059633027523,5.071727078891258,5.425335927367056,4.801394736842106
BRN,2005,5230,457,1096,5335,111,3.0985762906309753,-9.840374179431072,-3.1439790145985396,1.5357851921274603,-5.048522522522522,5.9699181644359465,4.460533916849015,5.321821167883212,5.444318837863168,5.043009009009009
BRN,2010,8132,795,1179,8121,167,2.9445336940482045,-9.672542138364781,-2.997944868532655,1.9645869966752862,-4.802544910179641,6.43683448106247,4.753241509433963,5.424650551314674,6.247160817633296,5.684958083832337
BRN,2015,27916,4699,5696,34251,1158,2.9310908439604524,-9.786969142370715,-2.9701630969101123,1.4699127616711918,-5.038868739205527,2.6272304771457224,-0.5494967014258351,1.379955231741573,1.2177653499167909,0.46990673575129516
BRN,2020,52558,10436,13205,66238,1861,2.902183530575745,-9.694494921425834,-2.9185568345323745,1.0890975572933965,-5.073613648576034,-0.252594695384147,-5.339355021080873,-2.5308960999621357,-1.7729485491711705,-3.179312735088662
BRN,2024,33462,5576,7758,39507,1129,2.936528181220489,-9.746091642754665,-2.969156999226605,0.8054666008555447,-4.899490699734278,0.09012665112665112,-5.143705882352942,-2.4849486981180715,-1.8631235477257198,-3.2676102745792734
CAN,2000,43749,4470,8985,48115,1001,3.124193970147889,-9.7855774049217,-3.0093432387312187,1.679638075444248,-5.161879120879121,5.791329584676221,4.435151901565995,5.248639955481358,5.367920856281825,5.211843156843156
CAN,2005,45525,6988,12206,61505,1816,3.011296430532674,-9.811492987979392,-2.9610508766180565,1.478568490366637,-5.186234030837005,5.954343701263043,4.437124212936463,5.384197689660823,5.551849264287457,5.364443832599118
CAN,2010,487459,108036,147970,797136,20040,2.967797281412386,-9.80409880965604,-2.9430824491450966,1.8412144401959014,-4.970825149700598,6.289335295891552,4.4319645488540855,5.421980496046496,5.922751329760542,5.286256437125749
CAN,2015,1425569,276012,420869,2231106,59475,2.9211836291333495,-9.791987301276755,-2.9738606383458985,1.8562344164732647,-4.995037175283733,2.890379281536004,1.0351778908163414,1.8568772539673866,2.313655765346873,1.5900422530474991
CAN,2020,2479904,446286,704009,3839844,104731,2.9321345084325845,-9.770515929247164,-2.96677311369599,1.9239388532450794,-4.959458641662927,-0.27133906877040403,-3.8082486253209824,-2.339735764741644,-1.3400559673778414,-2.745991645262625
CAN,2024,1332473,256391,378502,2086939,57808,2.919146240861916,-9.772014926420974,-2.9565209800740817,1.76070798331911,-4.8930265534182125,-0.23291619192283827,-3.7920434141604034,-2.4373457577502893,-1.403391187763514,-2.8233666966509827
CHN,2000,3221,510,1022,3179,93,3.496370381868985,-9.808676470588235,-3.4921379647749506,1.3780100660585088,-5.178569892473119,5.2271552312946294,4.015986274509804,5.084794520547945,4.8936011324315825,4.709924731182796
CHN,2005,2200,242,505,2493,58,3.1304213636363634,-9.834913223140497,-2.970350495049505,0.9778596068993182,-4.813948275862069,5.1612540909090905,3.293764462809918,4.67149900990099,4.66626634576815,5.669379310344828
CHN,2010,4221,627,1053,5043,135,3.051174366263918,-9.750377990430621,-3.0561301044634375,1.4091072774142372,-5.2991777777777775,5.271181710495143,3.695497607655503,4.2908423551756885,4.48035514574658,3.944037037037037
CHN,2015,2475,341,410,2207,66,3.268080808080808,-9.848979472140762,-2.953887804878049,1.4549379247847756,-5.018121212121212,3.6534654545454543,1.8234486803519063,1.452682926829268,2.4217063887630266,-0.7162424242424243
CHN,2020,3276,478,823,4292,164,3.059510073260073,-9.856508368200837,-2.944051032806805,0.8840999534016775,-4.7976829268292684,0.12493864468864464,-5.755303347280336,-4.543832320777644,-2.2869200838769808,-5.287804878048781
CHN,2024,3346,225,533,3238,50,3.0859327555289897,-9.849146666666666,-3.043187617260788,1.8365991352686841,-4.9477199999999995,0.8569488942020324,-4.668346666666666,-3.670003752345216,-1.1481470043236566,-4.9759199999999995
COL,2000,45495,17973,13318,55220,1949,3.1895207825035716,-9.803869860346076,-2.96522901336537,1.5636954907642155,-5.263876346844536,5.6899360589075725,3.9000470149668947,5.174607748911248,5.333367928286853,5.200743458183684
COL,2005,48214,23111,15262,62128,2458,3.2360756626705935,-9.805166587339363,-2.847347136679334,1.3892797772340972,-5.316617575264442,5.78170288712822,4.063211111591883,5.133403944437164,5.357666028199846,5.118410903173312
COL,2010,89783,32802,25876,132256,3484,3.1473562923938827,-9.761622401073106,-2.785869570258154,1.6363888897290104,-5.319756888633754,5.76383151598855,4.588968294616182,5.236463672901531,5.001208247640938,5.135115671641789
COL,2015,137199,39074,34935,177454,4147,3.3191131713788,-9.821452116496904,-2.8460007728638903,1.5803895262997734,-5.309868097419821,2.822451067427605,1.2724444387572302,1.841210419350222,2.244452032639445,1.6425874125874123
COL,2020,181324,41636,47760,219561,6772,3.314782428139684,-9.816452469017197,-2.926734380234506,1.6393700793856836,-5.219869462492617,-1.3619559738368887,-4.523876092804303,-3.521931113902848,-2.5181169834351276,-3.7814929119905494
COL,2024,88985,21458,22041,106949,3083,3.139369028487948,-9.839133004007829,-2.7859775418538177,1.367355468494329,-5.080566007135907,-1.0422938922290275,-5.197506384565197,-4.078817204301076,-2.63591175233055,-4.120250081089847
CUB,2000,70214,3790,11229,52798,1132,2.951156393311875,-9.8535635883905,-2.9565595333511445,1.6512387590439033,-5.068940812720848,6.224545190417865,5.301424274406333,5.750823938017633,5.86286984355468,5.621292402826856
CUB,2005,59542,3165,12077,48968,1030,2.8737716905713615,-9.781330489731438,-2.833654218762938,1.0088946863257635,-5.136092233009708,6.3875004534614215,5.277735860979463,5.915813529850128,5.975708135925502,5.714019417475729
CUB,2010,142935,11794,30648,168382,3211,3.321509028579424,-9.747602764117348,-2.9274010702166535,1.506106353410697,-5.213240423544067,5.748226704446076,4.804748431405799,5.41087154137301,5.269470935135584,5.256985985674245
CUB,2015,336725,26387,59815,323982,6478,2.981324597223253,-9.794181415090765,-2.969064131070802,1.6667270126118117,-5.099947051559123,2.552259383770139,1.4318416644559824,1.9715190336872022,2.2631351340506574,1.6318130595862919
CUB,2020,321415,33870,66308,312374,8148,2.9381925485742735,-9.773143785060526,-2.8681392290523013,1.6948370030796416,-5.079848060873834,-0.5528918749902775,-3.3042300856214935,-2.708241328346504,-1.6509735253254112,-3.317931394207168
CUB,2024,126999,14373,32032,137772,3848,2.9058327073441528,-9.751858902108118,-2.7595930007492506,1.2014730859681213,-5.065597972972973,-0.664864140662525,-4.275107980240729,-3.8917912712287714,-2.563691040269431,-4.357430093555093
DOM,2000,500,19,87,534,14,2.994074,-9.763473684210524,-2.804586206896552,2.5960955056179778,-5.514142857142857,6.819886,4.879526315789474,6.236827586206897,5.836249063670412,5.440357142857144
DOM,2005,899,57,262,1245,40,3.3866017797552836,-9.86819298245614,-2.7744618320610686,1.5715244979919678,-4.805149999999999,6.281857619577308,4.8070350877192976,5.458503816793893,5.769317269076304,4.554875
DOM,2010,2104,74,381,1884,39,3.6623916349809886,-9.824405405405406,-3.028879265091864,2.2508731422505304,-5.040794871794871,6.180722908745248,4.338932432432433,5.790813648293963,5.823164543524417,6.172897435897435
DOM,2015,5355,317,665,5695,122,3.4590119514472457,-9.862908517350158,-2.858587969924812,2.1188804214223005,-4.685081967213115,2.501934080298786,-0.6892113564668768,1.0172646616541354,1.0278886742756805,-1.0195245901639345
DOM,2020,10400,725,1803,12996,175,3.0309600000000003,-9.820852413793103,-2.9840049916805325,2.2915975684826098,-4.915182857142857,0.5227511538461539,-3.980615172413793,-2.16675540765391,-0.5545917205293938,-3.1588114285714286
DOM,2024,6518,766,1270,8396,126,3.114200214789813,-9.563738903394256,-3.123023622047244,1.971047284421153,-4.9998571428571426,1.659660938938325,-4.269378590078329,-2.9664874015748035,-0.49403060981419716,-2.3616428571428574
ECU,2000,7675,1082,2487,9907,314,3.2729305537459283,-9.812814232902035,-3.179062726176116,1.4972986777026347,-5.316557324840764,5.636145407166124,4.255834565619224,5.196435062324085,5.173581104269709,4.8552292993630575
ECU,2005,6342,1008,1978,8422,231,3.105608483128351,-9.753665674603175,-3.0701031344792717,0.9671131560199477,-5.154913419913419,5.392982970671713,3.7315109126984125,4.725239635995956,4.835687603894562,4.829969696969696
ECU,2010,22931,5193,6737,36444,862,3.2899636736295848,-9.860756017716158,-2.850940626391569,1.3262820217319722,-5.193719257540603,5.310785399677292,4.361138070479491,4.7184127950126165,4.286581357699484,4.741786542923434
ECU,2015,56901,6388,15764,78330,1870,2.905325969666614,-9.736670162805257,-3.021807218979955,2.0467282650325545,-4.968655614973263,2.390856856645753,1.2225588603631812,1.8325225831007355,2.082720885995149,1.980573262032085
ECU,2020,61144,8681,18181,88868,2035,2.9322152786863795,-9.644696463541067,-3.02232852978384,1.5964718571364271,-4.941268796068796,-1.3682978869553841,-4.974090657758323,-4.34143721467466,-3.209924089661071,-4.1105793611793615
ECU,2024,27860,10402,9114,40753,1291,3.0022033740129217,-9.846348586810228,-2.8471664472240508,1.0417741025200598,-4.868555383423703,-1.6112171572146448,-7.245744760622957,-5.20078077682686,-3.8929930066498173,-5.124
EGY,2000,141912,12004,22620,101656,2637,3.2366074468684816,-9.837895368210598,-3.037216887709991,1.688174864248052,-5.175486537732271,5.615922529454873,3.446508497167611,5.287089301503095,5.3414122826001424,5.303486537732272
EGY,2005,148990,14318,22595,112029,3099,3.203580622860595,-9.800883782651209,-3.0259548130117278,1.5932023226128946,-5.3137253952888015,5.540638895227867,3.934062369045956,5.324182828059305,5.389595113765186,5.205032591158438
