iso3,year,dest_total_migrant_stock,n_origins,origin_hhi
IDN,2000,280446.0,27,0.45120435208238524
IDN,2005,95078.0,27,0.17769068907675684
IDN,2010,100661.0,27,0.17624161379935818
IDN,2015,135695.0,27,0.1886060630901242
IDN,2020,292106.0,27,0.22024589990065702
IDN,2024,422616.0,27,0.239743349137249
MYS,2000,1485613.0,26,0.3802968668659397
MYS,2005,2045120.0,26,0.3345766165201568
MYS,2010,2917897.0,26,0.3135079746571497
MYS,2015,3359082.0,26,0.2741176607267561
MYS,2020,3486644.0,26,0.2788628347481504
MYS,2024,3572557.0,26,0.28474089498459876
USA,2000,31369527.0,57,0.10409198583173732
USA,2005,35533585.0,57,0.11497016895285787
USA,2010,39769676.0,57,0.10671947305846588
USA,2015,43278121.0,57,0.09517081026536596
USA,2020,45295697.0,57,0.08135913712915566
USA,2024,48694117.0,57,0.07473719606412091
