iso3_orig,iso3_dest,year,migrant_stock,dest_total_migrant_stock,orig_total_migrant_stock,origin_share_in_dest_migrants,dest_share_of_origin_emigration
AFG,IDN,2000,78.0,280446.0,41817.0,0.00027812840974733105,0.001865270105459502
AFG,IDN,2005,36.0,95078.0,56537.0,0.0003786364879362208,0.0006367511541114668
AFG,IDN,2010,1548.0,100661.0,60781.0,0.015378349112367252,0.025468485217419918
AFG,IDN,2015,6263.0,135695.0,86729.0,0.046154979918198905,0.07221344648272204
AFG,IDN,2020,7646.0,292106.0,145672.0,0.026175429467385127,0.052487780767752214
AFG,IDN,2024,5979.0,422616.0,208137.0,0.014147594979839855,0.02872627163839202
AFG,MYS,2000,58.0,1485613.0,41817.0,3.904112309194925e-05,0.001386995719444245
AFG,MYS,2005,68.0,2045120.0,56537.0,3.324988264747301e-05,0.0012027521799883262
AFG,MYS,2010,525.0,2917897.0,60781.0,0.00017992410287271963,0.008637567660946678
AFG,MYS,2015,452.0,3359082.0,86729.0,0.00013456057339475487,0.005211636246238283
AFG,MYS,2020,2574.0,3486644.0,145672.0,0.0007382457170849677,0.01766983359876984
AFG,MYS,2024,2906.0,3572557.0,208137.0,0.0008134229908718042,0.013961957748982642
AFG,USA,2000,41681.0,31369527.0,41817.0,0.0013287098654691223,0.9967477341750962
AFG,USA,2005,56433.0,35533585.0,56537.0,0.0015881594834858345,0.9981604966659002
AFG,USA,2010,58708.0,39769676.0,60781.0,0.001476200107840959,0.9658939471216335
AFG,USA,2015,80014.0,43278121.0,86729.0,0.0018488325775511372,0.9225749172710397
AFG,USA,2020,135452.0,45295697.0,145672.0,0.0029903944297402026,0.929842385633478
AFG,USA,2024,199252.0,48694117.0,208137.0,0.0040919111440094495,0.9573117706126253
ARG,USA,2000,135087.0,31369527.0,135087.0,0.004306312938668154,1.0
ARG,USA,2005,193374.0,35533585.0,193374.0,0.005442006484850881,1.0
ARG,USA,2010,177406.0,39769676.0,177406.0,0.00446083593942279,1.0
ARG,USA,2015,193602.0,43278121.0,193602.0,0.004473438206802001,1.0
ARG,USA,2020,207388.0,45295697.0,207388.0,0.00457853645568143,1.0
ARG,USA,2024,212091.0,48694117.0,212091.0,0.004355577492040774,1.0
AUS,IDN,2000,22875.0,280446.0,31355.0,0.0815665047816692,0.7295487163131877
AUS,IDN,2005,13980.0,95078.0,22460.0,0.14703716948189907,0.622439893143366
AUS,IDN,2010,12504.0,100661.0,20987.0,0.12421891298516805,0.5957973983894792
AUS,IDN,2015,7689.0,135695.0,16169.0,0.05666384170382107,0.475539612839384
AUS,IDN,2020,4398.0,292106.0,12878.0,0.015056178236667512,0.3415126572449138
AUS,IDN,2024,5820.0,422616.0,14300.0,0.01377136691464592,0.406993006993007
AUS,MYS,2000,8480.0,1485613.0,31355.0,0.005708081445167752,0.2704512836868123
AUS,MYS,2005,8480.0,2045120.0,22460.0,0.004146455953684869,0.377560106856634
AUS,MYS,2010,8483.0,2917897.0,20987.0,0.002907230789846249,0.4042026016105208
AUS,MYS,2015,8480.0,3359082.0,16169.0,0.0025244992530697374,0.524460387160616
AUS,MYS,2020,8480.0,3486644.0,12878.0,0.0024321381821602664,0.6584873427550862
AUS,MYS,2024,8480.0,3572557.0,14300.0,0.0023736500215391946,0.593006993006993
BGD,MYS,2000,158149.0,1485613.0,250483.0,0.1064536995839428,0.6313761812178871
BGD,MYS,2005,55364.0,2045120.0,176558.0,0.027071272101392582,0.3135740096738749
BGD,MYS,2010,319475.0,2917897.0,484714.0,0.10948810050526116,0.6591000053639878
BGD,MYS,2015,282437.0,3359082.0,515126.0,0.08408160324755394,0.5482872151667747
BGD,MYS,2020,282437.0,3486644.0,561679.0,0.08100540232957537,0.5028441511966799
BGD,MYS,2024,282437.0,3572557.0,640018.0,0.0790573810298898,0.441295401066845
BGD,USA,2000,92334.0,31369527.0,250483.0,0.0029434297813926234,0.368623818782113
BGD,USA,2005,121194.0,35533585.0,176558.0,0.003410688789211671,0.6864259903261252
BGD,USA,2010,165239.0,39769676.0,484714.0,0.0041548993258079345,0.34089999463601217
BGD,USA,2015,232689.0,43278121.0,515126.0,0.005376596641060272,0.45171278483322524
BGD,USA,2020,279242.0,45295697.0,561679.0,0.006164868155136238,0.49715584880332003
BGD,USA,2024,357581.0,48694117.0,640018.0,0.007343412757643803,0.558704598933155
BRA,USA,2000,240109.0,31369527.0,240109.0,0.007654211681291848,1.0
BRA,USA,2005,345947.0,35533585.0,345947.0,0.009735775323542502,1.0
BRA,USA,2010,365297.0,39769676.0,365297.0,0.009185314962083172,1.0
BRA,USA,2015,380949.0,43278121.0,380949.0,0.008802346109249983,1.0
BRA,USA,2020,571580.0,45295697.0,571580.0,0.012618858696445271,1.0
BRA,USA,2024,738994.0,48694117.0,738994.0,0.015176248087628326,1.0
BRN,MYS,2000,8533.0,1485613.0,8533.0,0.005743756954200051,1.0
BRN,MYS,2005,10288.0,2045120.0,10288.0,0.005030511657017681,1.0
BRN,MYS,2010,12051.0,2917897.0,12051.0,0.004130029264226942,1.0
BRN,MYS,2015,13798.0,3359082.0,13798.0,0.004107669893143424,1.0
BRN,MYS,2020,15510.0,3486644.0,15510.0,0.004448403679870959,1.0
BRN,MYS,2024,16887.0,3572557.0,16887.0,0.004726866499260894,1.0
CAN,USA,2000,965513.0,31369527.0,965513.0,0.030778691690187106,1.0
CAN,USA,2005,950086.0,35533585.0,950086.0,0.026737690553880224,1.0
CAN,USA,2010,928127.0,39769676.0,928127.0,0.023337554975303293,1.0
CAN,USA,2015,955022.0,43278121.0,955022.0,0.022067085583498416,1.0
CAN,USA,2020,931908.0,45295697.0,931908.0,0.02057387482082459,1.0
CAN,USA,2024,950387.0,48694117.0,950387.0,0.019517491199193528,1.0
CHN,IDN,2000,14.0,280446.0,1400829.0,4.9920483800803005e-05,9.994082075685183e-06
CHN,IDN,2005,10.0,95078.0,1593076.0,0.00010517680220450577,6.277164429066786e-06
CHN,IDN,2010,24.0,100661.0,2018639.0,0.0002384240172460039,1.1889198613521289e-05
CHN,IDN,2015,15036.0,135695.0,2533548.0,0.11080732525148311,0.005934760265051225
CHN,IDN,2020,47633.0,292106.0,2735232.0,0.16306751658644464,0.01741461053395105
CHN,IDN,2024,82568.0,422616.0,3006123.0,0.19537357790523785,0.027466607321124253
CHN,MYS,2000,30708.0,1485613.0,1400829.0,0.020670255308751335,0.021921305170010043
CHN,MYS,2005,30708.0,2045120.0,1593076.0,0.015015255828508841,0.01927591652877829
CHN,MYS,2010,30775.0,2917897.0,2018639.0,0.010546979554110375,0.015245420305463235
CHN,MYS,2015,30708.0,3359082.0,2533548.0,0.009141783380102063,0.012120551890076683
CHN,MYS,2020,30606.0,3486644.0,2735232.0,0.008778068538112867,0.0111895444335252
CHN,MYS,2024,30524.0,3572557.0,3006123.0,0.008544020431304524,0.010153942470085223
CHN,USA,2000,1370107.0,31369527.0,1400829.0,0.043676367833024705,0.9780687007479143
CHN,USA,2005,1562358.0,35533585.0,1593076.0,0.04396848784044728,0.9807178063067926
CHN,USA,2010,1987840.0,39769676.0,2018639.0,0.0499838117866487,0.9847426904959232
CHN,USA,2015,2487804.0,43278121.0,2533548.0,0.05748410380385969,0.9819446878448721
CHN,USA,2020,2656993.0,45295697.0,2735232.0,0.058658839050429006,0.9713958450325237
CHN,USA,2024,2893031.0,48694117.0,3006123.0,0.059412331062497756,0.9623794502087906
COL,USA,2000,518413.0,31369527.0,518413.0,0.01652600627354056,1.0
COL,USA,2005,567340.0,35533585.0,567340.0,0.01596630342815114,1.0
COL,USA,2010,659397.0,39769676.0,659397.0,0.01658039658155626,1.0
COL,USA,2015,725904.0,43278121.0,725904.0,0.016773001766874306,1.0
COL,USA,2020,867302.0,45295697.0,867302.0,0.019147558321047583,1.0
COL,USA,2024,1008875.0,48694117.0,1008875.0,0.020718621923054893,1.0
CUB,USA,2000,900766.0,31369527.0,900766.0,0.02871468224560734,1.0
CUB,USA,2005,918694.0,35533585.0,918694.0,0.025854244653332897,1.0
CUB,USA,2010,1102190.0,39769676.0,1102190.0,0.027714331894481616,1.0
CUB,USA,2015,1237236.0,43278121.0,1237236.0,0.028588024882133863,1.0
CUB,USA,2020,1346576.0,45295697.0,1346576.0,0.029728563399741923,1.0
CUB,USA,2024,1394750.0,48694117.0,1394750.0,0.02864309049900217,1.0
DEU,USA,2000,1369572.0,31369527.0,1369572.0,0.04365931306519222,1.0
DEU,USA,2005,1173821.0,35533585.0,1173821.0,0.03303412813539641,1.0
DEU,USA,2010,1198784.0,39769676.0,1198784.0,0.030143167372044973,1.0
DEU,USA,2015,1179764.0,43278121.0,1179764.0,0.027260055952983725,1.0
DEU,USA,2020,1147641.0,45295697.0,1147641.0,0.02533664511222777,1.0
DEU,USA,2024,1137577.0,48694117.0,1137577.0,0.023361692748222543,1.0
DOM,USA,2000,673311.0,31369527.0,673311.0,0.021463855671142253,1.0
DOM,USA,2005,725810.0,35533585.0,725810.0,0.020426027939483168,1.0
DOM,USA,2010,895116.0,39769676.0,895116.0,0.022507500438273622,1.0
DOM,USA,2015,1099126.0,43278121.0,1099126.0,0.025396805004542597,1.0
DOM,USA,2020,1289305.0,45295697.0,1289305.0,0.028464182811890497,1.0
DOM,USA,2024,1483418.0,48694117.0,1483418.0,0.030464008619357448,1.0
ECU,USA,2000,284853.0,31369527.0,284853.0,0.00908056407736081,1.0
ECU,USA,2005,350434.0,35533585.0,350434.0,0.009862050226567345,1.0
ECU,USA,2010,451974.0,39769676.0,451974.0,0.011364789594966777,1.0
ECU,USA,2015,447534.0,43278121.0,447534.0,0.010340883329939394,1.0
ECU,USA,2020,469786.0,45295697.0,469786.0,0.010371537057924067,1.0
ECU,USA,2024,561895.0,48694117.0,561895.0,0.011539278964643717,1.0
EGY,USA,2000,114611.0,31369527.0,114611.0,0.003653577562709186,1.0
EGY,USA,2005,133243.0,35533585.0,133243.0,0.00374977644389104,1.0
EGY,USA,2010,148183.0,39769676.0,148183.0,0.0037260298524936434,1.0
EGY,USA,2015,192005.0,43278121.0,192005.0,0.0044365373441236046,1.0
EGY,USA,2020,229880.0,45295697.0,229880.0,0.005075095764615345,1.0
EGY,USA,2024,262714.0,48694117.0,262714.0,0.005395189731030548,1.0
ERI,IDN,2000,0.0,280446.0,0.0,0.0,
ERI,IDN,2005,0.0,95078.0,0.0,0.0,
ERI,IDN,2010,0.0,100661.0,0.0,0.0,
ERI,IDN,2015,30.0,135695.0,30.0,0.0002210840487858801,1.0
ERI,IDN,2020,264.0,292106.0,264.0,0.0009037815039745846,1.0
ERI,IDN,2024,171.0,422616.0,171.0,0.00040462263615196774,1.0
ESP,USA,2000,112414.0,31369527.0,112414.0,0.003583541441348478,1.0
ESP,USA,2005,114571.0,35533585.0,114571.0,0.0032243017415777213,1.0
ESP,USA,2010,127257.0,39769676.0,127257.0,0.0031998500566109717,1.0
ESP,USA,2015,141349.0,43278121.0,141349.0,0.003266061389310317,1.0
ESP,USA,2020,155463.0,45295697.0,155463.0,0.0034321803238837453,1.0
ESP,USA,2024,168755.0,48694117.0,168755.0,0.0034656137208525623,1.0
ETH,IDN,2000,0.0,280446.0,74613.0,0.0,0.0
ETH,IDN,2005,0.0,95078.0,112568.0,0.0,0.0
ETH,IDN,2010,0.0,100661.0,171081.0,0.0,0.0
ETH,IDN,2015,206.0,135695.0,237378.0,0.0015181104683297101,0.0008678142035066435
ETH,IDN,2020,173.0,292106.0,285228.0,0.0005922507582863755,0.000606532318005245
ETH,IDN,2024,119.0,422616.0,363930.0,0.0002815794953338255,0.0003269859588382381
ETH,USA,2000,74613.0,31369527.0,74613.0,0.002378518490253296,1.0
ETH,USA,2005,112568.0,35533585.0,112568.0,0.0031679325348117843,1.0
ETH,USA,2010,171081.0,39769676.0,171081.0,0.004301795166749662,1.0
ETH,USA,2015,237172.0,43278121.0,237378.0,0.005480182469104885,0.9991321857964933
ETH,USA,2020,285055.0,45295697.0,285228.0,0.0062932026413016675,0.9993934676819948
ETH,USA,2024,363811.0,48694117.0,363930.0,0.007471354291114879,0.9996730140411617
FRA,USA,2000,204122.0,31369527.0,204122.0,0.006507015550473554,1.0
FRA,USA,2005,196697.0,35533585.0,196697.0,0.005535523646150536,1.0
FRA,USA,2010,204225.0,39769676.0,204225.0,0.005135193960343051,1.0
FRA,USA,2015,229140.0,43278121.0,229140.0,0.0052945921566234354,1.0
FRA,USA,2020,232437.0,45295697.0,232437.0,0.005131547042978498,1.0
FRA,USA,2024,253094.0,48694117.0,253094.0,0.005197629931352898,1.0
GBR,IDN,2000,5022.0,280446.0,856217.0,0.01790719068911662,0.005865335539939057
GBR,IDN,2005,3378.0,95078.0,833220.0,0.035528723784682054,0.004054151364585584
GBR,IDN,2010,3289.0,100661.0,855231.0,0.032674024696754456,0.00384574459999696
GBR,IDN,2015,2324.0,135695.0,866746.0,0.017126644312612845,0.0026812930201004677
GBR,IDN,2020,1314.0,292106.0,887947.0,0.004498367031146228,0.0014798180522035663
GBR,IDN,2024,1753.0,422616.0,900064.0,0.004147973574119295,0.0019476392789846055
GBR,MYS,2000,3522.0,1485613.0,856217.0,0.0023707385436180215,0.004113443204234441
GBR,MYS,2005,3522.0,2045120.0,833220.0,0.0017221483335941167,0.004226974868582127
GBR,MYS,2010,3524.0,2917897.0,855231.0,0.0012077191209970742,0.00412052416247774
GBR,MYS,2015,3522.0,3359082.0,866746.0,0.0010485007510980678,0.00406347418967033
GBR,MYS,2020,3522.0,3486644.0,887947.0,0.0010101404100906202,0.0039664529527100156
GBR,MYS,2024,3522.0,3572557.0,900064.0,0.0009858485113043683,0.00391305507163935
GBR,USA,2000,847673.0,31369527.0,856217.0,0.0270221798371394,0.9900212212558265
GBR,USA,2005,826320.0,35533585.0,833220.0,0.0232546195381074,0.9917188737668323
GBR,USA,2010,848418.0,39769676.0,855231.0,0.02133328921261516,0.9920337312375253
GBR,USA,2015,860900.0,43278121.0,866746.0,0.01989226842819724,0.9932552327902292
