country,year,category,event_count,goldstein_avg,tone_avg
AF,1996,Aid/Cooperation,11059,3.429,5.219
AF,1996,Conflict/Migration,4606,-9.875,3.322
AF,1996,Disapproval/Sanction,2269,-3.15,4.703
AF,1996,Other,9605,2.027,4.869
AF,1996,Protest,473,-5.585,4.402
AF,1997,Aid/Cooperation,10718,3.292,5.386
AF,1997,Conflict/Migration,4465,-9.868,3.654
AF,1997,Disapproval/Sanction,2032,-3.225,4.779
AF,1997,Other,9987,1.669,4.923
AF,1997,Protest,263,-5.274,4.626
AF,1998,Aid/Cooperation,11230,3.356,5.346
AF,1998,Conflict/Migration,5809,-9.879,3.929
AF,1998,Disapproval/Sanction,2944,-2.87,4.766
AF,1998,Other,12664,1.331,5.046
AF,1998,Protest,503,-5.396,4.59
AF,1999,Aid/Cooperation,10344,3.416,5.322
AF,1999,Conflict/Migration,3917,-9.884,4.071
AF,1999,Disapproval/Sanction,2922,-3.085,5.184
AF,1999,Other,10829,1.555,5.117
AF,1999,Protest,507,-5.525,5.003
AF,2000,Aid/Cooperation,12487,3.271,5.121
AF,2000,Conflict/Migration,4126,-9.869,3.705
AF,2000,Disapproval/Sanction,3074,-2.952,4.833
AF,2000,Other,13246,1.584,4.863
AF,2000,Protest,562,-5.345,5.072
AF,2001,Aid/Cooperation,47908,3.016,5.512
AF,2001,Conflict/Migration,19335,-9.876,4.431
AF,2001,Disapproval/Sanction,14630,-2.995,5.407
AF,2001,Other,66381,1.68,5.401
AF,2001,Protest,3501,-5.565,5.329
AF,2002,Aid/Cooperation,49596,3.023,5.426
AF,2002,Conflict/Migration,13533,-9.895,3.956
AF,2002,Disapproval/Sanction,8792,-2.933,5
AF,2002,Other,53161,1.904,5.152
AF,2002,Protest,1691,-5.398,4.969
AF,2003,Aid/Cooperation,44512,3.038,5.448
AF,2003,Conflict/Migration,18411,-9.895,3.313
AF,2003,Disapproval/Sanction,9954,-2.853,4.772
AF,2003,Other,48693,1.444,5.002
AF,2003,Protest,1520,-5.323,4.82
AF,2004,Aid/Cooperation,34105,2.935,5.658
AF,2004,Conflict/Migration,14988,-9.856,3.42
AF,2004,Disapproval/Sanction,8404,-2.891,4.868
AF,2004,Other,42121,1.297,4.952
AF,2004,Protest,1319,-5.482,5.022
AF,2005,Aid/Cooperation,17818,2.995,5.332
AF,2005,Conflict/Migration,12802,-9.851,2.977
AF,2005,Disapproval/Sanction,5860,-2.827,4.332
AF,2005,Other,29097,1.105,4.472
AF,2005,Protest,776,-5.568,4.458
AF,2006,Aid/Cooperation,30645,2.989,5.015
AF,2006,Conflict/Migration,37944,-9.887,2.903
AF,2006,Disapproval/Sanction,13497,-2.756,4.157
AF,2006,Other,54952,1.112,4.303
AF,2006,Protest,1953,-5.388,4.324
AF,2007,Aid/Cooperation,66643,2.982,5.054
AF,2007,Conflict/Migration,72119,-9.858,3.09
AF,2007,Disapproval/Sanction,25375,-2.877,4.404
AF,2007,Other,107915,1.647,4.496
AF,2007,Protest,4308,-5.498,4.319
AF,2008,Aid/Cooperation,78313,3.06,5.133
AF,2008,Conflict/Migration,77332,-9.875,3.267
AF,2008,Disapproval/Sanction,30247,-2.779,4.416
AF,2008,Other,128267,1.691,4.654
AF,2008,Protest,5573,-5.373,4.523
AF,2009,Aid/Cooperation,149835,3.001,5.372
AF,2009,Conflict/Migration,117150,-9.895,3.615
