iso3_dest,destination_raw,iso3_orig,origin_raw,year,sex,value,metric,unit,source
ABW,Aruba*,CHN,China,1990,Both sexes,247.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,CHN,China,1995,Both sexes,435.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,CHN,China,2000,Both sexes,622.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,CHN,China,2005,Both sexes,855.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,CHN,China,2010,Both sexes,1072.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,CHN,China,2015,Both sexes,1127.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,CHN,China,2020,Both sexes,1260.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,CHN,China,2024,Both sexes,1728.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,COL,Colombia,1990,Both sexes,1849.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,COL,Colombia,1995,Both sexes,4446.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,COL,Colombia,2000,Both sexes,7043.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,COL,Colombia,2005,Both sexes,8243.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,COL,Colombia,2010,Both sexes,9280.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,COL,Colombia,2015,Both sexes,9762.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,COL,Colombia,2020,Both sexes,10926.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,COL,Colombia,2024,Both sexes,14983.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,CUW,Curaçao*,1990,Both sexes,438.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,CUW,Curaçao*,1995,Both sexes,1095.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,CUW,Curaçao*,2000,Both sexes,1751.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,CUW,Curaçao*,2005,Both sexes,2063.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,CUW,Curaçao*,2010,Both sexes,2335.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,CUW,Curaçao*,2015,Both sexes,2455.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,CUW,Curaçao*,2020,Both sexes,2745.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,CUW,Curaçao*,2024,Both sexes,3764.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,DMA,Dominica,1990,Both sexes,143.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,DMA,Dominica,1995,Both sexes,134.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,DMA,Dominica,2000,Both sexes,125.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,DMA,Dominica,2005,Both sexes,115.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,DMA,Dominica,2010,Both sexes,103.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,DMA,Dominica,2015,Both sexes,107.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,DMA,Dominica,2020,Both sexes,119.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,DMA,Dominica,2024,Both sexes,163.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,DOM,Dominican Republic,1990,Both sexes,2042.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,DOM,Dominican Republic,1995,Both sexes,2829.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,DOM,Dominican Republic,2000,Both sexes,3615.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,DOM,Dominican Republic,2005,Both sexes,3903.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,DOM,Dominican Republic,2010,Both sexes,4114.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,DOM,Dominican Republic,2015,Both sexes,4327.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,DOM,Dominican Republic,2020,Both sexes,4839.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,DOM,Dominican Republic,2024,Both sexes,6636.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,GRD,Grenada,1990,Both sexes,294.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,GRD,Grenada,1995,Both sexes,285.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,GRD,Grenada,2000,Both sexes,276.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,GRD,Grenada,2005,Both sexes,263.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,GRD,Grenada,2010,Both sexes,246.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,GRD,Grenada,2015,Both sexes,258.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,GRD,Grenada,2020,Both sexes,287.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,GRD,Grenada,2024,Both sexes,394.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,GUY,Guyana,1990,Both sexes,107.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,GUY,Guyana,1995,Both sexes,202.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,GUY,Guyana,2000,Both sexes,297.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,GUY,Guyana,2005,Both sexes,289.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,GUY,Guyana,2010,Both sexes,276.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,GUY,Guyana,2015,Both sexes,289.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,GUY,Guyana,2020,Both sexes,322.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,GUY,Guyana,2024,Both sexes,442.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,HTI,Haiti,1990,Both sexes,320.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,HTI,Haiti,1995,Both sexes,660.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,HTI,Haiti,2000,Both sexes,1000.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,HTI,Haiti,2005,Both sexes,1288.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,HTI,Haiti,2010,Both sexes,1552.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,HTI,Haiti,2015,Both sexes,1632.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,HTI,Haiti,2020,Both sexes,1824.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,HTI,Haiti,2024,Both sexes,2501.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,IND,India,1990,Both sexes,39.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,IND,India,1995,Both sexes,98.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,IND,India,2000,Both sexes,157.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,IND,India,2005,Both sexes,238.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,IND,India,2010,Both sexes,315.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,IND,India,2015,Both sexes,330.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,IND,India,2020,Both sexes,368.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,IND,India,2024,Both sexes,505.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,JAM,Jamaica,1990,Both sexes,162.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,JAM,Jamaica,1995,Both sexes,439.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,JAM,Jamaica,2000,Both sexes,715.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,JAM,Jamaica,2005,Both sexes,719.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,JAM,Jamaica,2010,Both sexes,710.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,JAM,Jamaica,2015,Both sexes,746.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,JAM,Jamaica,2020,Both sexes,833.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,JAM,Jamaica,2024,Both sexes,1142.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,NIC,Nicaragua,1990,Both sexes,19.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,NIC,Nicaragua,1995,Both sexes,48.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,NIC,Nicaragua,2000,Both sexes,77.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,NIC,Nicaragua,2005,Both sexes,90.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,NIC,Nicaragua,2010,Both sexes,103.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,NIC,Nicaragua,2015,Both sexes,107.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,NIC,Nicaragua,2020,Both sexes,119.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,NIC,Nicaragua,2024,Both sexes,163.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,NLD,Netherlands*,1990,Both sexes,2096.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,NLD,Netherlands*,1995,Both sexes,2885.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,NLD,Netherlands*,2000,Both sexes,3674.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,NLD,Netherlands*,2005,Both sexes,4056.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,NLD,Netherlands*,2010,Both sexes,4359.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,NLD,Netherlands*,2015,Both sexes,4585.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,NLD,Netherlands*,2020,Both sexes,5128.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,NLD,Netherlands*,2024,Both sexes,7032.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,PER,Peru,1990,Both sexes,141.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,PER,Peru,1995,Both sexes,540.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,PER,Peru,2000,Both sexes,939.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,PER,Peru,2005,Both sexes,1019.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,PER,Peru,2010,Both sexes,1079.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,PER,Peru,2015,Both sexes,1134.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,PER,Peru,2020,Both sexes,1268.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,PER,Peru,2024,Both sexes,1739.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,PHL,Philippines,1990,Both sexes,217.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,PHL,Philippines,1995,Both sexes,486.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,PHL,Philippines,2000,Both sexes,754.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,PHL,Philippines,2005,Both sexes,863.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,PHL,Philippines,2010,Both sexes,955.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
