"Country or Area","Year","Area","Sex","National and/or ethnic group","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Åland Islands","2000","Total","Both Sexes","Total","Census - de jure - complete tabulation","Final figure, complete","2009","25776","1"
"Åland Islands","2000","Total","Both Sexes","Finnish","Census - de jure - complete tabulation","Final figure, complete","2009","5109","1"
"Åland Islands","2000","Total","Both Sexes","Swedish","Census - de jure - complete tabulation","Final figure, complete","2009","1354","1"
"Åland Islands","2000","Total","Both Sexes","Other","Census - de jure - complete tabulation","Final figure, complete","2009","552","1"
"Åland Islands","2000","Total","Both Sexes","Åland","Census - de jure - complete tabulation","Final figure, complete","2009","18682","1"
"Åland Islands","2000","Total","Both Sexes","Other Nordic Countries","Census - de jure - complete tabulation","Final figure, complete","2009","79","1"
"Åland Islands","2000","Total","Male","Total","Census - de jure - complete tabulation","Final figure, complete","2009","12700","1"
"Åland Islands","2000","Total","Male","Finnish","Census - de jure - complete tabulation","Final figure, complete","2009","2027","1"
"Åland Islands","2000","Total","Male","Swedish","Census - de jure - complete tabulation","Final figure, complete","2009","671","1"
"Åland Islands","2000","Total","Male","Other","Census - de jure - complete tabulation","Final figure, complete","2009","258","1"
"Åland Islands","2000","Total","Male","Åland","Census - de jure - complete tabulation","Final figure, complete","2009","9701","1"
"Åland Islands","2000","Total","Male","Other Nordic Countries","Census - de jure - complete tabulation","Final figure, complete","2009","43","1"
"Åland Islands","2000","Total","Female","Total","Census - de jure - complete tabulation","Final figure, complete","2009","13076","1"
"Åland Islands","2000","Total","Female","Finnish","Census - de jure - complete tabulation","Final figure, complete","2009","3082","1"
"Åland Islands","2000","Total","Female","Swedish","Census - de jure - complete tabulation","Final figure, complete","2009","683","1"
"Åland Islands","2000","Total","Female","Other","Census - de jure - complete tabulation","Final figure, complete","2009","294","1"
"Åland Islands","2000","Total","Female","Åland","Census - de jure - complete tabulation","Final figure, complete","2009","8981","1"
"Åland Islands","2000","Total","Female","Other Nordic Countries","Census - de jure - complete tabulation","Final figure, complete","2009","36","1"
"Albania","2023","Total","Both Sexes","Total","Census - de jure - complete tabulation","Final figure, complete","2024","2402113",""
"Albania","2023","Total","Both Sexes","Albanian","Census - de jure - complete tabulation","Final figure, complete","2024","2186917",""
"Albania","2023","Total","Both Sexes","Bulgarian","Census - de jure - complete tabulation","Final figure, complete","2024","7057",""
"Albania","2023","Total","Both Sexes","Egyptian","Census - de jure - complete tabulation","Final figure, complete","2024","12375",""
"Albania","2023","Total","Both Sexes","Greek","Census - de jure - complete tabulation","Final figure, complete","2024","23485",""
"Albania","2023","Total","Both Sexes","Macedonian","Census - de jure - complete tabulation","Final figure, complete","2024","2281",""
"Albania","2023","Total","Both Sexes","Mixed","Census - de jure - complete tabulation","Final figure, complete","2024","770",""
"Albania","2023","Total","Both Sexes","Montenegrian","Census - de jure - complete tabulation","Final figure, complete","2024","511",""
"Albania","2023","Total","Both Sexes","Serbian","Census - de jure - complete tabulation","Final figure, complete","2024","584",""
"Albania","2023","Total","Both Sexes","Other","Census - de jure - complete tabulation","Final figure, complete","2024","3798",""
"Albania","2023","Total","Both Sexes","Bosnian","Census - de jure - complete tabulation","Final figure, complete","2024","9813",""
"Albania","2023","Total","Both Sexes","Not Stated","Census - de jure - complete tabulation","Final figure, complete","2024","1142",""
