Topic,Count,Name,Representation,Representative_Docs
-1,12892,-1_los_mxico_de_que,"['los', 'mxico', 'de', 'que', 'unidos', 'migrantes', 'estados', 'eeuu', 'para', 'por']","['Condena internacional al régimen militar en Birmania : represión y crisis humanitaria | Noticias de México', 'Los niños estadounidenses  deportados  junto a sus madres a Honduras ( y por qué el gobierno de EE . UU . defiende su expulsión ) ', 'Aviso importante para inmigrantes en Estados Unidos : las opciones que tienen los venezolanos para evitar la deportación de Donald Trump tras fin del TPS']"
0,1500,0_iranpressnews_271_cnn_24,"['iranpressnews', '271', 'cnn', '24', 'enabel', '233', '1800', 'lebanonfiles', '61', '34']","['سفير مصر فى بروكسل يلتقى المدير التنفيذى لوكالة التعاون التنموى البلجيكية  إنابل Enabel  ', 'مجلس الأمن يدين الهجوم على مدينة الفاشر ويدعو إلى حماية المدنيين في السودان – اليوم 24', 'IranPressNews : ايران پرس نيوز اخبار ايران و جهان']"
1,325,1_abd_ukrayna_ve_rusya,"['abd', 'ukrayna', 've', 'rusya', 'yeni', 'sava', 'bir', 'rus', 'bakan', 'ukraynada']","['ABD ve Fransa Ukraynada ateşkes çağrısında bulunurken , Rusya ve Ukrayna birbirini suçladı', 'ABD ve Fransa Ukraynada ateşkes çağrısında bulunurken , Rusya ve Ukrayna birbirini suçladı', 'ABD ve Fransa Ukraynada ateşkes çağrısında bulunurken , Rusya ve Ukrayna birbirini suçladı']"
2,258,2_mignews_fakti_bg_quotidiano,"['mignews', 'fakti', 'bg', 'quotidiano', 'fatto', 'forbes', 'figaro', 'boulevard', 'lantidiplomatico', 'voltaire']","['Ще избухне ли война между Индия и Пакистан ? ᐉ Новини от Fakti . bg - Свят', 'Германия улеснява категоризирането на „ сигурни страни  за мигрантите ᐉ Новини от Fakti . bg - Свят', 'Германия вече води парада на антимигрантските политики в Европа ᐉ Новини от Fakti . bg - Мнения']"
3,255,3_isw_lb_ua_58,"['isw', 'lb', 'ua', '58', 'bloomberg', 'nova', '01', 'aa', 'dsnews', 'agoravox']","['Україна надаватиме гуманітарну підтримку палестинцям - новини LB . ua', 'Японія та Україна підписали грантову угоду з віднолення новини LB . ua', 'Шмигаль розповів , яку допомогу отримає Україна від партнерів у 2025 році - LB . ua']"
4,250,4_2025925_cptpp_wenxuecity_cfi,"['2025925', 'cptpp', 'wenxuecity', 'cfi', 'www', '8000', 'gpt', 'cjpl', '1300', 'ft']","['美国又双叒退群了 - CFi . CN 中财网', '局势有变 ， 美国连退两步 ， 对欧洲发出最后警告 ， 俄罗斯接到电话 - CFi . CN 中财网', '俄乌战争 ： 中国的能与不能 | www . wenxuecity . com']"
5,242,5_ukrajina_na_tde_svet,"['ukrajina', 'na', 'tde', 'svet', 'ukrajine', 'rusk', 'rusko', 'oblasti', 'sk', 'hnonline']","['Ukrajina ONLINE : V zónach bojov v Doneckej oblasti zostáva najmenej 21 700 civilistov | Svet | . týždeň', 'Ukrajina ONLINE : Rusko prišlo o ďalších viac ako 1 200 vojakov\u200b , tvrdí Ukrajina | Svet | . týždeň', 'Konflikt na Ukrajine - všetko o vojne Ukrajina - Rusko']"
6,239,6_cdu_spd_casus_belli,"['cdu', 'spd', 'casus', 'belli', '103', '83', 'welle', 'annan', 'huffpost', 'frontex']","['Γερμανία : « Ναι » στην επιστροφή προσφύγων στην Ελλάδα από CDU και SPD', ' « Ναι » στην επιστροφή προσφύγων στην Ελλάδα από CDU και SPD', 'Γερμανία : « Ναι » στην επιστροφή προσφύγων στην Ελλάδα από CDU και SPD']"
7,235,7_hams_rehenes_liberar_tregua,"['hams', 'rehenes', 'liberar', 'tregua', 'fuego', 'negociaciones', 'alto', 'acuerdo', 'cese', 'avisa']","['Catar y EEUU anuncian un acuerdo para una tregua en Gaza y para liberar rehenes', 'Acuerdo entre Israel y Hamas en Gaza : liberarán a los rehenes', 'Acuerdo entre Israel y Hamas en Gaza : liberarán a los rehenes']"
8,200,8_3384_82700_1000_80,"['3384', '82700', '1000', '80', '900', '32', '30', '22', '10', '']","['82700 خرجوا ولم يعودوا .. ارتفاع حاد في الهجرة العكسية من إسرائيل وسط الحرب', 'الأمم المتحدة : مقتل 3384 مدنيا بالسودان خلال 6 أشهر', 'الأمم المتحدة : مقتل 3384 مدنيا بالسودان خلال 6 أشهر']"
9,187,9_g7_g20_oda_nhk,"['g7', 'g20', 'oda', 'nhk', '22', 'web', 'pwc', 'fpci', 'aig7', '3dmax']","['韓国 イ大統領と中国 習主席が電話会談 APEC成功へ緊密に協力 | NHK', '米国務省 「 台湾独立支持しない 」 HPの文言削除 中国は反発 | NHK', 'PWC中国区预选结束 ， 正赛六强出炉 ！ TYLOO 、 LVG 、 3DMAX 、 B8首亮相']"
10,184,10_isral_humanitaire_israliens_proche,"['isral', 'humanitaire', 'israliens', 'proche', 'laide', 'orient', 'annonce', 'flottille', 'otages', 'cessez']","['Guerre dans la bande de Gaza : lUnion européenne annonce un accord avec Israël pour étendre laide humanitaire à Gaza', 'Conflit au Proche - Orient : libération de six nouveaux otages israéliens à Gaza - LINFO . re - Monde , Asie', 'Gaza : lUE annonce un accès élargi de laide humanitaire après des négociations avec Israël']"
