iso3_dest,iso3_orig,origin_ethnic_group,dest_ethnic_bucket
IDN,AFG,,Other
IDN,AUS,Acehnese,Other
IDN,AUS,Acholi,Other
IDN,AUS,Afgan,Other
IDN,AUS,African American,Other
IDN,AUS,"African, so described",Other
IDN,AUS,Afrikaner,Other
IDN,AUS,Akan,Other
IDN,AUS,Albanian,Other
IDN,AUS,Algerian,Other
IDN,AUS,American,Other
IDN,AUS,Amhara,Other
IDN,AUS,Anglo-Burmese,Other
IDN,AUS,Anglo-Indian,Other
IDN,AUS,Angolan,Other
IDN,AUS,"Arab, nec (incl. Baggara, Bedouin, Yemeni)",Other
IDN,AUS,"Arab, nfd",Other
IDN,AUS,Argentinean,Other
IDN,AUS,Armenian,Other
IDN,AUS,"Asian, so described",Other
IDN,AUS,Assyrian/ Chaldean,Other
IDN,AUS,Australian,Other
IDN,AUS,Australian Aboriginal,Other
IDN,AUS,Australian South Sea Islander,Other
IDN,AUS,"Australian peoples, nfd",Other
IDN,AUS,Austrian,Other
IDN,AUS,Azeris,Other
IDN,AUS,Bahraini,Other
IDN,AUS,Balinese,Other
IDN,AUS,Bangladeshi,Other
IDN,AUS,Barbadian,Other
IDN,AUS,Bari,Other
IDN,AUS,Basque,Other
IDN,AUS,Batswana,Other
IDN,AUS,Belarus,Other
IDN,AUS,Belgian,Other
IDN,AUS,Bengali,Other
IDN,AUS,Berber,Other
IDN,AUS,Bermudian,Other
IDN,AUS,Bhutanese,Other
IDN,AUS,Bolivian,Other
IDN,AUS,Bosnian,Other
IDN,AUS,Brazil,Other
IDN,AUS,Breton,Other
IDN,AUS,British NEC,Other
IDN,AUS,"British, nec (incl. Channel Islander, Guernsey Islander, Manx)",Other
IDN,AUS,"British, nfd",Other
IDN,AUS,Bruneian,Other
IDN,AUS,Bulgarian,Other
IDN,AUS,Burgher,Other
IDN,AUS,Burmese,Other
IDN,AUS,Burundian,Other
IDN,AUS,Cameroonian,Other
IDN,AUS,Canadian,Other
IDN,AUS,"Caribbean, nfd",Other
IDN,AUS,"Carribbean Islander, nec (incl.Bahamian, Haitian, Puerto Rican)",Other
IDN,AUS,Catalan,Other
IDN,AUS,"Caucasian, so described",Other
IDN,AUS,"Central American, nec (incl. Belizean, Costa Rican, Mayan)",Other
IDN,AUS,"Central American, nfd",Other
IDN,AUS,"Central Asian, nec (incl. Azerbaijani, Chechen, Tatar)",Other
IDN,AUS,"Central Asian, nfd",Other
IDN,AUS,"Central and West Africa, nec (incl. Fang, Kongo, Liberian)",Other
IDN,AUS,"Central and West Africa, nfd",Other
IDN,AUS,Chaldean,Other
IDN,AUS,Channel Islander,Other
IDN,AUS,Chilean,Other
IDN,AUS,Chin,Other
IDN,AUS,Chinese,Other
IDN,AUS,"Chinese Asian, nec (incl. Hui, Manchu, Yi)",Other
IDN,AUS,"Chinese Asian, nfd",Other
IDN,AUS,Colombian,Other
IDN,AUS,Congo,Other
IDN,AUS,Cook Islander,Other
IDN,AUS,Coptic,Other
IDN,AUS,Costa Rican,Other
IDN,AUS,"Creole, so described",Other
IDN,AUS,Croatian,Other
IDN,AUS,Cubans,Other
IDN,AUS,Cypriot,Other
IDN,AUS,Czech,Other
IDN,AUS,Danish,Other
IDN,AUS,Darfu/Darfurian,Other
IDN,AUS,Dinka,Other
IDN,AUS,Dutch,Other
IDN,AUS,"Eastern European, nec (incl. Adygei, Khanty, Sorb/Wend)",Other
IDN,AUS,"Eastern European, nfd",Other
IDN,AUS,Ecuadorian,Other
IDN,AUS,Egyptian,Other
IDN,AUS,Emirati,Other
IDN,AUS,English,Other
IDN,AUS,Eritrean,Other
IDN,AUS,Estonian,Other
IDN,AUS,Ethiopian,Other
IDN,AUS,"Eurasian, so described",Other
IDN,AUS,"European, so described",Other
IDN,AUS,Fijian,Other
IDN,AUS,Fijian Indian/Indo-Fijian,Other
IDN,AUS,Filipino,Other
IDN,AUS,Finnish,Other
IDN,AUS,Flemish,Other
IDN,AUS,French,Other
IDN,AUS,French Canadian,Other
IDN,AUS,Frisian,Other
IDN,AUS,Fulani,Other
IDN,AUS,Georgian,Other
IDN,AUS,German,Other
IDN,AUS,Ghanaian,Other
IDN,AUS,Gibraltarian,Other
IDN,AUS,Gio,Other
IDN,AUS,Greek,Other
IDN,AUS,Guatemalan,Other
IDN,AUS,Gujarati,Other
IDN,AUS,Gurkha,Other
IDN,AUS,Guyanese,Other
IDN,AUS,Hawaiian,Other
IDN,AUS,Hazara,Other
IDN,AUS,Hispanic,Other
IDN,AUS,Hmong,Other
IDN,AUS,Hungarian,Other
IDN,AUS,Hutu,Other
IDN,AUS,Icelandic,Other
IDN,AUS,Igbo,Other
IDN,AUS,Inadequately described,Other
IDN,AUS,Indian,Other
