iso3,country,year,ethnic_group,sex,value,metric,unit,source,source_year,record_type,reliability
ABW,Aruba,2000,American,Both Sexes,656,ethnic_composition,persons,UNdata_Export_20250416_063435193,2002,Census - de jure - complete tabulation,"Final figure, complete"
ABW,Aruba,2000,Colombian,Both Sexes,5768,ethnic_composition,persons,UNdata_Export_20250416_063435193,2002,Census - de jure - complete tabulation,"Final figure, complete"
ABW,Aruba,2000,Dominican,Both Sexes,2139,ethnic_composition,persons,UNdata_Export_20250416_063435193,2002,Census - de jure - complete tabulation,"Final figure, complete"
ABW,Aruba,2000,Dutch,Both Sexes,73440,ethnic_composition,persons,UNdata_Export_20250416_063435193,2002,Census - de jure - complete tabulation,"Final figure, complete"
ABW,Aruba,2000,Other,Both Sexes,5905,ethnic_composition,persons,UNdata_Export_20250416_063435193,2002,Census - de jure - complete tabulation,"Final figure, complete"
ABW,Aruba,2000,Portuguese,Both Sexes,82,ethnic_composition,persons,UNdata_Export_20250416_063435193,2002,Census - de jure - complete tabulation,"Final figure, complete"
ABW,Aruba,2000,Total,Both Sexes,90506,ethnic_composition,persons,UNdata_Export_20250416_063435193,2002,Census - de jure - complete tabulation,"Final figure, complete"
ABW,Aruba,2000,Venezuelan,Both Sexes,2516,ethnic_composition,persons,UNdata_Export_20250416_063435193,2002,Census - de jure - complete tabulation,"Final figure, complete"
ABW,Aruba,2010,African,Both Sexes,25,ethnic_composition,persons,UNdata_Export_20250416_063435193,2012,Census - de jure - complete tabulation,"Final figure, complete"
ABW,Aruba,2010,American,Both Sexes,570,ethnic_composition,persons,UNdata_Export_20250416_063435193,2012,Census - de jure - complete tabulation,"Final figure, complete"
ABW,Aruba,2010,British,Both Sexes,110,ethnic_composition,persons,UNdata_Export_20250416_063435193,2012,Census - de jure - complete tabulation,"Final figure, complete"
ABW,Aruba,2010,Central American,Both Sexes,35,ethnic_composition,persons,UNdata_Export_20250416_063435193,2012,Census - de jure - complete tabulation,"Final figure, complete"
ABW,Aruba,2010,Chinese,Both Sexes,880,ethnic_composition,persons,UNdata_Export_20250416_063435193,2012,Census - de jure - complete tabulation,"Final figure, complete"
ABW,Aruba,2010,Colombian,Both Sexes,6646,ethnic_composition,persons,UNdata_Export_20250416_063435193,2012,Census - de jure - complete tabulation,"Final figure, complete"
ABW,Aruba,2010,Dominican,Both Sexes,2190,ethnic_composition,persons,UNdata_Export_20250416_063435193,2012,Census - de jure - complete tabulation,"Final figure, complete"
ABW,Aruba,2010,Dutch,Both Sexes,83327,ethnic_composition,persons,UNdata_Export_20250416_063435193,2012,Census - de jure - complete tabulation,"Final figure, complete"
ABW,Aruba,2010,Filipino,Both Sexes,875,ethnic_composition,persons,UNdata_Export_20250416_063435193,2012,Census - de jure - complete tabulation,"Final figure, complete"
ABW,Aruba,2010,Grenadian,Both Sexes,69,ethnic_composition,persons,UNdata_Export_20250416_063435193,2012,Census - de jure - complete tabulation,"Final figure, complete"
ABW,Aruba,2010,Haitian,Both Sexes,1167,ethnic_composition,persons,UNdata_Export_20250416_063435193,2012,Census - de jure - complete tabulation,"Final figure, complete"
ABW,Aruba,2010,Indian,Both Sexes,281,ethnic_composition,persons,UNdata_Export_20250416_063435193,2012,Census - de jure - complete tabulation,"Final figure, complete"
ABW,Aruba,2010,Jamaican,Both Sexes,600,ethnic_composition,persons,UNdata_Export_20250416_063435193,2012,Census - de jure - complete tabulation,"Final figure, complete"
ABW,Aruba,2010,Oceania,Both Sexes,11,ethnic_composition,persons,UNdata_Export_20250416_063435193,2012,Census - de jure - complete tabulation,"Final figure, complete"
ABW,Aruba,2010,Other Asian,Both Sexes,48,ethnic_composition,persons,UNdata_Export_20250416_063435193,2012,Census - de jure - complete tabulation,"Final figure, complete"
ABW,Aruba,2010,Other Caribbean,Both Sexes,170,ethnic_composition,persons,UNdata_Export_20250416_063435193,2012,Census - de jure - complete tabulation,"Final figure, complete"
ABW,Aruba,2010,Other European,Both Sexes,224,ethnic_composition,persons,UNdata_Export_20250416_063435193,2012,Census - de jure - complete tabulation,"Final figure, complete"
ABW,Aruba,2010,Other North American,Both Sexes,92,ethnic_composition,persons,UNdata_Export_20250416_063435193,2012,Census - de jure - complete tabulation,"Final figure, complete"
ABW,Aruba,2010,Other South American,Both Sexes,451,ethnic_composition,persons,UNdata_Export_20250416_063435193,2012,Census - de jure - complete tabulation,"Final figure, complete"
ABW,Aruba,2010,Peruvian,Both Sexes,744,ethnic_composition,persons,UNdata_Export_20250416_063435193,2012,Census - de jure - complete tabulation,"Final figure, complete"
ABW,Aruba,2010,Portuguese,Both Sexes,57,ethnic_composition,persons,UNdata_Export_20250416_063435193,2012,Census - de jure - complete tabulation,"Final figure, complete"
ABW,Aruba,2010,Surinamese,Both Sexes,311,ethnic_composition,persons,UNdata_Export_20250416_063435193,2012,Census - de jure - complete tabulation,"Final figure, complete"
ABW,Aruba,2010,Total,Both Sexes,101484,ethnic_composition,persons,UNdata_Export_20250416_063435193,2012,Census - de jure - complete tabulation,"Final figure, complete"
ABW,Aruba,2010,Unknown,Both Sexes,143,ethnic_composition,persons,UNdata_Export_20250416_063435193,2012,Census - de jure - complete tabulation,"Final figure, complete"
ABW,Aruba,2010,Venezuelan,Both Sexes,2459,ethnic_composition,persons,UNdata_Export_20250416_063435193,2012,Census - de jure - complete tabulation,"Final figure, complete"
