iso3,year,gdelt_events_Aid/Cooperation,gdelt_events_Conflict/Migration,gdelt_events_Disapproval/Sanction,gdelt_events_Other,gdelt_events_Protest,gdelt_goldstein_Aid/Cooperation,gdelt_goldstein_Conflict/Migration,gdelt_goldstein_Disapproval/Sanction,gdelt_goldstein_Other,gdelt_goldstein_Protest,gdelt_tone_Aid/Cooperation,gdelt_tone_Conflict/Migration,gdelt_tone_Disapproval/Sanction,gdelt_tone_Other,gdelt_tone_Protest,conflict_events,conflict_tone,conflict_goldstein,coop_events,coop_tone,coop_goldstein,conflict_events_d1,conflict_events_d2,coop_events_d1,coop_events_d2,conflict_tone_d1,conflict_tone_d2,coop_tone_d1,coop_tone_d2,conflict_goldstein_d1,conflict_goldstein_d2,coop_goldstein_d1,coop_goldstein_d2,conflict_events_z,conflict_spike_hi,conflict_spike_med,push_multiplier,coop_events_z,pull_multiplier
IDN,2000,89466,30579,31558,137164,4955,3.0132360226231194,-9.830728768108832,-3.088142879776919,0.9635407614242805,-5.135121089808274,5.150253202333848,3.4033882075934465,4.835818809810508,4.751689080225132,4.59539576185671,67092,4.165193525308531,-6.312436549812198,89466,5.150253202333848,3.0132360226231194,,,,,,,,,,,,,-0.9149601571273789,0,0,0.6950132809575404,-1.0987129578275645,0.6337623473908118
IDN,2005,87303,33510,34380,143083,5679,3.024397638110947,-9.874121874067441,-2.8678138452588713,0.6135062306493433,-5.453518401126959,5.098430237219798,3.413984989555357,4.496456660849331,4.531497606284464,4.523845571403417,73569,4.005515040302301,-6.2587203169813375,87303,5.098430237219798,3.024397638110947,6477.0,,-2163.0,,-0.15967848500623028,,-0.0518229651140496,,0.05371623283086091,,0.011161615487827792,,-0.8152493256809688,0,0,0.7282502247730105,-1.1128894622793146,0.6290368459068951
IDN,2010,179779,41504,54285,292485,7983,3.030995516717748,-9.86830136854279,-2.9666522980565535,1.0662790057609792,-5.221890392083177,5.428802969201074,3.811110519468003,4.778465045592706,4.845014872557567,4.516204058624577,103772,4.371392697452108,-5.900484244304822,179779,5.428802969201074,3.030995516717748,30203.0,36680.0,92476.0,90313.0,0.3658776571498068,0.20619917214357653,0.33037273198127615,0.27854976686722654,0.35823607267651525,0.41195230550737616,0.006597878606800833,0.017759494094628625,-0.3502861880901202,0,0,0.8832379373032933,-0.5067931027416103,0.8310689657527965
IDN,2015,430418,75507,118862,638661,16149,3.007118789177033,-9.838508045611665,-3.053249835944204,1.2496056546430738,-5.057590191343118,2.343627053236621,0.6786558332340047,1.5004582793491612,1.7024709321533649,1.0676502569818564,210518,1.1724993682250449,-5.6406893139779015,430418,2.343627053236621,3.007118789177033,106746.0,136949.0,250639.0,343115.0,-3.198893329227063,-2.833015672077256,-3.085175915964453,-2.754803183983177,0.2597949303269207,0.6180310030034359,-0.023876727540715237,-0.017278848933914404,1.293025902936358,0,1,1.4310086343121193,1.135918362483645,1.378639454161215
IDN,2020,471575,87005,117140,660724,19019,2.9553810464931347,-9.803545118096663,-2.9979911388082634,1.2207715188187505,-5.117506230611493,-0.7611765106292742,-5.62555951956784,-3.399502697626772,-2.427401872794087,-4.293443977075556,223164,-4.3435615197791755,-5.831908264773889,471575,-0.7611765106292742,2.9553810464931347,12646.0,119392.0,41157.0,291796.0,-5.516060888004221,-8.714954217231284,-3.1048035638658953,-6.189979479830348,-0.19121895079598783,0.06857597953093286,-0.05173774268389808,-0.07561447022461332,1.4877060286845905,0,1,1.49590200956153,1.4056651926827595,1.4685550642275864
IDN,2024,284081,28388,46196,323933,6456,2.9692252209757077,-9.811033781879667,-3.0590325785782317,1.885390522114141,-4.847414807930607,0.43969639997043103,-4.6229217979427935,-2.4102387436141655,-1.0159230921209015,-3.2190676889714993,81040,-3.2497679417571566,-5.566702936821322,284081,0.43969639997043103,2.9692252209757077,-142124.0,-129478.0,-187494.0,-146337.0,1.093793578022019,-4.422267309982201,1.2008729105997051,-1.90393065326619,0.26520532795256724,0.07398637715657941,0.013844174482573024,-0.037893568201325056,-0.7002362607224802,0,0,0.7665879130925066,0.17681196768208515,1.058937322560695
MYS,2000,44819,5123,12098,55154,1374,2.98595573305964,-9.570254538356432,-3.010617292114399,1.2665885339231968,-4.977566957787482,5.294048439277986,4.088287917235994,4.8419447842618615,4.869786923885847,4.734012372634643,18595,4.6263339607421345,-4.963164237698305,44819,5.294048439277986,2.98595573305964,,,,,,,,,,,,,-1.0079601538069543,0,0,0.6640132820643485,-1.0711229028018332,0.642959032399389
MYS,2005,50060,5961,13410,63908,1947,3.207827586895725,-9.783979365878208,-2.932650782997763,1.1210462226951243,-5.232781715459682,5.674432620854974,3.919475423586647,5.014379567486949,5.110488530387432,4.795775552131484,21318,4.688253963786471,-5.058512712261938,50060,5.674432620854974,3.207827586895725,2723.0,,5241.0,,0.06192000304433609,,0.3803841815769884,,-0.09534847456363238,,0.2218718538360851,,-0.9845211217201527,0,0,0.6718262927599491,-1.045165842170675,0.6516113859431083
MYS,2010,170269,21824,56596,270981,6022,3.1396129712396266,-9.824334677419353,-3.068571842533041,1.50855168443544,-4.978233477250083,5.998671102784417,4.231349248533724,5.390371651706834,5.563753274214798,5.194158087014281,84442,5.076829776651429,-4.950783899007603,170269,5.998671102784417,3.1396129712396266,63124.0,65847.0,120209.0,125450.0,0.3885758128649588,0.4504958159092949,0.32423848192944327,0.7046226635064317,0.10772881325433481,0.01238033869070243,-0.06821461565609832,0.15365723817998678,-0.44116252405314427,0,0,0.8529458253156186,-0.44980764690052133,0.8500641176998263
MYS,2015,503165,82438,174927,809278,19217,3.032715719495593,-9.819066243722556,-3.0673840744996483,1.4206301975340982,-4.943038299422386,2.251470662705077,0.655083201921444,1.380804186889388,1.6543529775923722,1.1278931675079358,276582,1.1469235380465828,-5.210110723040545,503165,2.251470662705077,3.032715719495593,192140.0,255264.0,332896.0,453105.0,-3.929906238604847,-3.541330425739888,-3.7472004400793404,-3.422961958149897,-0.25932682403294205,-0.15159801077860724,-0.10689725174403364,-0.17511186740013196,1.2127396519138254,0,1,1.4042465506379418,1.1989238272208267,1.3996412757402756
