iso3,year,gdelt_events_Aid/Cooperation,gdelt_events_Conflict/Migration,gdelt_events_Disapproval/Sanction,gdelt_events_Other,gdelt_events_Protest,gdelt_goldstein_Aid/Cooperation,gdelt_goldstein_Conflict/Migration,gdelt_goldstein_Disapproval/Sanction,gdelt_goldstein_Other,gdelt_goldstein_Protest,gdelt_tone_Aid/Cooperation,gdelt_tone_Conflict/Migration,gdelt_tone_Disapproval/Sanction,gdelt_tone_Other,gdelt_tone_Protest,conflict_events,conflict_tone,conflict_goldstein,coop_events,coop_tone,coop_goldstein,conflict_events_d1,conflict_events_d2,coop_events_d1,coop_events_d2,conflict_tone_d1,conflict_tone_d2,coop_tone_d1,coop_tone_d2,conflict_goldstein_d1,conflict_goldstein_d2,coop_goldstein_d1,coop_goldstein_d2,conflict_events_z,conflict_spike_hi,conflict_spike_med,push_multiplier,coop_events_z,pull_multiplier
AFG,2000,55838,22923,13241,56331,2308,3.350279881084566,-9.875108101033897,-3.038943282229439,1.612152828815395,-5.436750433275564,5.273762384039544,3.737413951053527,4.8649972811721165,4.964630150361257,4.763665077989602,38472,4.187063526720731,-7.256024407361198,55838,5.273762384039544,3.350279881084566,,,,,,,,,,,,,-1.362773238032395,0,0,0.5457422539892016,-1.4841917915464407,0.505269402817853
AFG,2005,193939,79069,47640,239453,8807,3.00666589494635,-9.875837180184396,-2.9148768261964735,1.544496991058788,-5.479001816736687,5.484455596862933,3.6623213901781986,4.971895256087321,5.072714123439673,5.049305552401499,135516,4.212834012219959,-7.143000612473804,193939,5.484455596862933,3.00666589494635,97044.0,,138101.0,,0.025770485499228002,,0.21069321282338915,,0.11302379488739422,,-0.34361398613821637,,-1.0411787830897334,0,0,0.6529404056367556,-0.9596661239413978,0.680111292019534
AFG,2010,461064,420476,167877,751875,33370,3.0304221496364927,-9.883702192277324,-2.8439855370300875,1.7407440611803826,-5.347442583158526,5.300836296045669,3.3751937875170044,4.586475490984471,4.814998098088113,4.715400659274798,621723,3.7741963044635636,-7.739368628794495,461064,5.300836296045669,3.0304221496364927,486207.0,583251.0,267125.0,405226.0,-0.43863770775639566,-0.41286722225716765,-0.18361930081726374,0.02707391200612541,-0.5963680163206915,-0.48334422143329725,0.023756254690142864,-0.3198577314480735,0.5700643144155899,0,0,1.19002143813853,0.05490957760310284,1.0183031925343675
AFG,2015,762060,528236,230956,1009718,42438,3.225561900637745,-9.896336050553161,-2.8504453748766,1.8150148932672292,-5.380908054102456,2.5265101474949483,0.6851069673403557,1.3654530689828366,1.8481112112490816,1.2799095150572601,801630,0.9126087384454177,-7.627313608522635,762060,2.5265101474949483,3.225561900637745,179907.0,666114.0,300996.0,568121.0,-2.861587566018146,-3.3002252737745414,-2.774326148550721,-2.9579454493679846,0.11205502027186043,-0.48431299604883105,0.19513975100125247,0.21889600569139533,1.16625875822839,0,1,1.3887529194094634,1.1981317689445665,1.3993772563148554
AFG,2020,762290,493176,242649,979555,43507,3.2421471356045597,-9.88367280037958,-2.892413943597542,1.846640418353232,-5.328077849541454,-1.8014046019231524,-6.310941748990218,-4.414518633911535,-3.386739818591095,-4.638624658100995,779332,-5.627121923647431,-7.452587922733828,762290,-1.8014046019231524,3.2421471356045597,-22298.0,157609.0,230.0,301226.0,-6.539730662092849,-9.401318228110995,-4.327914749418101,-7.102240897968821,0.17472568578880665,0.2867807060606671,0.01658523496681452,0.211724985968067,1.0923653371378388,0,1,1.3641217790459463,1.1990053390385498,1.3996684463461833
AFG,2024,444451,161088,132051,643933,28394,2.945331777856276,-9.855059669249105,-3.0110900864060097,2.1316820305839275,-5.181071282665352,-1.9670248418835823,-5.255678300059594,-4.072272016114986,-3.1289631312574446,-4.423251708107347,321533,-4.696152827237016,-6.631545275290561,444451,-1.9670248418835823,2.945331777856276,-457799.0,-480097.0,-317839.0,-317609.0,0.9309690964104149,-5.608761565682434,-0.16562023996042985,-4.493534989378531,0.8210426474432673,0.9957683332320739,-0.2968153577482835,-0.28023012278146897,-0.42473638865969077,0,0,0.8584212037801031,-0.008188770098380696,0.9972704099672064
ARG,2000,32596,3333,7115,32199,807,3.190576512455516,-9.776171617161715,-3.1766269852424456,1.6680308705239293,-5.420819083023544,5.578618726224076,4.096478547854786,4.937179198875615,5.08588602130501,4.826639405204461,11255,4.680292403376277,-5.291895335406486,32596,5.578618726224076,3.190576512455516,,,,,,,,,,,,,-1.030269686332233,0,0,0.656576771222589,-0.9623590609028695,0.6792136463657101
ARG,2005,23503,3042,6584,28310,657,3.0518906948049187,-9.743860946745562,-3.109955042527339,1.3407854821617804,-5.330634703196347,5.6584105433348935,4.057995726495727,4.899522782503038,5.111738290356764,4.687445966514459,10283,4.637025478945834,-5.214333949236604,23503,5.6584105433348935,3.0518906948049187,-972.0,,-9093.0,,-0.04326692443044333,,0.0797918171108174,,0.07756138616988206,,-0.13868581765059718,,-1.074286629379664,0,0,0.6419044568734453,-1.1418164463920937,0.6193945178693021
ARG,2010,59783,9098,16007,80068,1400,3.129938142950337,-9.759231039788965,-2.990215968013994,1.3304789928560725,-5.343172857142858,5.341030811434688,4.302445152780831,4.752237770975198,4.352538292451417,4.577491428571428,26505,4.588613620071685,-5.438004640633842,59783,5.341030811434688,3.129938142950337,16222.0,15250.0,36280.0,27187.0,-0.04841185887414845,-0.09167878330459178,-0.3173797319002052,-0.2375879147893878,-0.22367069139723839,-0.14610930522735632,0.07804744814541831,-0.06063836950517887,-0.3396746436642039,0,0,0.8867751187785987,-0.4258025955673879,0.8580658014775373
ARG,2015,134240,22839,40803,159219,4307,3.0829659713945174,-9.805948246420597,-2.8612252285371174,1.634762572306069,-5.099334339447411,2.718277421036949,0.9380816585664871,1.54322684606524,2.0775866448099785,1.8422331088925006,67949,1.3587783484672324,-5.337347981574416,134240,2.718277421036949,3.0829659713945174,41444.0,57666.0,74457.0,110737.0,-3.2298352716044527,-3.278247130478601,-2.6227533903977394,-2.9401331222979445,0.10065665905942645,-0.12301403233781194,-0.046972171555819564,0.031075276589598744,1.5371136152429303,1,0,1.5123712050809768,1.0436638677968655,1.3478879559322885
