iso3_dest,ims_years,iso3,ethnic_years
ABW,8.0,ABW,2.0
AFG,8.0,0,0.0
AGO,8.0,0,0.0
AIA,8.0,AIA,1.0
ALB,8.0,ALB,2.0
AND,8.0,0,0.0
ARE,8.0,0,0.0
ATG,8.0,ATG,2.0
ARG,8.0,ARG,1.0
ARM,8.0,ARM,3.0
ASM,8.0,ASM,1.0
AUT,8.0,0,0.0
AUS,8.0,AUS,5.0
AZE,8.0,AZE,3.0
BDI,8.0,0,0.0
BIH,8.0,0,0.0
BEL,8.0,0,0.0
BEN,8.0,0,0.0
BFA,8.0,0,0.0
BGD,8.0,BGD,1.0
BGR,8.0,BGR,3.0
BHR,8.0,BHR,2.0
BHS,8.0,0,0.0
BOL,8.0,BOL,2.0
BLR,8.0,BLR,3.0
BLZ,8.0,BLZ,2.0
BMU,8.0,BMU,2.0
BRB,8.0,BRB,1.0
BRA,8.0,BRA,2.0
BRN,8.0,BRN,2.0
BTN,8.0,0,0.0
FIN,8.0,0,0.0
BWA,8.0,0,0.0
CAN,8.0,CAN,6.0
CHE,8.0,0,0.0
CHL,8.0,CHL,2.0
CHN,8.0,CHN,3.0
CIV,8.0,0,0.0
CMR,8.0,0,0.0
COD,8.0,0,0.0
COG,8.0,0,0.0
COK,8.0,COK,4.0
COL,8.0,COL,2.0
COM,8.0,0,0.0
CPV,8.0,0,0.0
CRI,8.0,CRI,2.0
CUB,8.0,CUB,1.0
CUW,8.0,0,0.0
CYM,8.0,0,0.0
CYP,8.0,CYP,1.0
CZE,8.0,CZE,3.0
DEU,8.0,0,0.0
DJI,8.0,0,0.0
DMA,8.0,DMA,1.0
DNK,8.0,0,0.0
DOM,8.0,0,0.0
DZA,8.0,0,0.0
ECU,8.0,ECU,1.0
EGY,8.0,EGY,1.0
ERI,8.0,0,0.0
ESP,8.0,0,0.0
EST,8.0,EST,3.0
ETH,8.0,ETH,1.0
HND,8.0,0,0.0
FJI,8.0,FJI,2.0
FLK,8.0,FLK,1.0
FRA,8.0,0,0.0
FRO,8.0,0,0.0
GAB,8.0,0,0.0
GBR,8.0,GBR,2.0
GEO,8.0,GEO,2.0
GLP,8.0,0,0.0
GHA,8.0,GHA,2.0
GIB,8.0,GIB,1.0
GIN,8.0,0,0.0
GNB,8.0,0,0.0
GMB,8.0,0,0.0
GNQ,8.0,0,0.0
GRC,8.0,0,0.0
IDN,8.0,IDN,2.0
GRD,8.0,GRD,1.0
GRL,8.0,0,0.0
GTM,8.0,0,0.0
GUF,8.0,0,0.0
GUM,8.0,GUM,2.0
GUY,8.0,0,0.0
HKG,8.0,HKG,5.0
IND,8.0,0,0.0
HRV,8.0,HRV,3.0
HTI,8.0,0,0.0
HUN,8.0,HUN,3.0
IRL,8.0,IRL,2.0
IMN,8.0,IMN,3.0
IRQ,8.0,0,0.0
IRN,8.0,IRN,2.0
TZA,8.0,0,0.0
SXM,8.0,0,0.0
ISL,8.0,0,0.0
ISR,8.0,0,0.0
ITA,8.0,0,0.0
JAM,8.0,JAM,2.0
JOR,8.0,0,0.0
JPN,8.0,0,0.0
KAZ,8.0,KAZ,3.0
KEN,8.0,KEN,1.0
KGZ,8.0,KGZ,2.0
KHM,8.0,0,0.0
KIR,8.0,KIR,4.0
KOR,8.0,0,0.0
KWT,8.0,KWT,1.0
LAO,8.0,LAO,2.0
LTU,8.0,LTU,3.0
LBN,8.0,0,0.0
LBR,8.0,LBR,1.0
LBY,8.0,0,0.0
LCA,8.0,LCA,1.0
LIE,8.0,0,0.0
LKA,8.0,LKA,2.0
LSO,8.0,0,0.0
MAR,8.0,0,0.0
LUX,8.0,0,0.0
LVA,8.0,LVA,3.0
MAC,8.0,MAC,4.0
MDA,8.0,MDA,2.0
MCO,8.0,MCO,1.0
MDG,8.0,0,0.0
MDV,8.0,0,0.0
NRU,8.0,0,0.0
MEX,8.0,0,0.0
MHL,8.0,0,0.0
MKD,8.0,MKD,2.0
MLI,8.0,0,0.0
MLT,8.0,0,0.0
MMR,8.0,0,0.0
MNE,8.0,MNE,2.0
MNG,8.0,MNG,3.0
MOZ,8.0,MOZ,2.0
MRT,8.0,0,0.0
MSR,8.0,0,0.0
MUS,8.0,0,0.0
MTQ,8.0,0,0.0
MWI,8.0,0,0.0
MYS,8.0,MYS,3.0
OMN,8.0,0,0.0
MYT,8.0,0,0.0
NAM,8.0,0,0.0
NCL,8.0,0,0.0
NER,8.0,NER,1.0
NGA,8.0,0,0.0
NIC,8.0,0,0.0
NIU,8.0,NIU,2.0
PAK,8.0,0,0.0
NLD,8.0,0,0.0
NOR,8.0,0,0.0
NPL,8.0,NPL,3.0
NZL,8.0,NZL,4.0
PHL,8.0,PHL,2.0
PER,8.0,PER,1.0
PAN,8.0,0,0.0
YEM,8.0,0,0.0
UGA,8.0,UGA,1.0
SYC,8.0,0,0.0
PLW,8.0,PLW,3.0
PNG,8.0,0,0.0
POL,8.0,POL,3.0
PRI,8.0,PRI,1.0
PRK,8.0,0,0.0
PRT,8.0,0,0.0
PRY,8.0,0,0.0
PSE,8.0,PSE,2.0
QAT,8.0,0,0.0
RUS,8.0,RUS,1.0
ROU,8.0,ROU,3.0
RWA,8.0,0,0.0
SAU,8.0,0,0.0
SMR,8.0,0,0.0
SDN,8.0,0,0.0
SEN,8.0,0,0.0
SGP,8.0,SGP,3.0
SHN,8.0,0,0.0
SLB,8.0,0,0.0
SLE,8.0,0,0.0
SLV,8.0,SLV,1.0
SUR,8.0,SUR,1.0
SOM,8.0,0,0.0
SRB,8.0,SRB,3.0
SSD,8.0,0,0.0
SVN,8.0,SVN,1.0
SVK,8.0,SVK,3.0
SWE,8.0,0,0.0
SWZ,8.0,0,0.0
ZWE,8.0,0,0.0
VNM,8.0,VNM,3.0
UKR,8.0,UKR,1.0
SYR,8.0,0,0.0
TCD,8.0,0,0.0
TGO,8.0,0,0.0
THA,8.0,THA,2.0
TJK,8.0,TJK,2.0
