iso3,year,ethnic_group,value_interp,share_interp,total_pop_interp
ARG,2000,African,229472,0.0050302082780061645,45618787.0
ARG,2000,Indigenous,1306730,0.028644558216771525,45618787.0
ARG,2000,Not Stated,44082585,0.9663252335052223,45618787.0
ARG,2005,African,229472,0.0050302082780061645,45618787.0
ARG,2005,Indigenous,1306730,0.028644558216771525,45618787.0
ARG,2005,Not Stated,44082585,0.9663252335052223,45618787.0
ARG,2010,African,229472,0.0050302082780061645,45618787.0
ARG,2010,Indigenous,1306730,0.028644558216771525,45618787.0
ARG,2010,Not Stated,44082585,0.9663252335052223,45618787.0
ARG,2015,African,229472,0.0050302082780061645,45618787.0
ARG,2015,Indigenous,1306730,0.028644558216771525,45618787.0
ARG,2015,Not Stated,44082585,0.9663252335052223,45618787.0
ARG,2020,African,229472,0.0050302082780061645,45618787.0
ARG,2020,Indigenous,1306730,0.028644558216771525,45618787.0
ARG,2020,Not Stated,44082585,0.9663252335052223,45618787.0
ARG,2024,African,229472,0.0050302082780061645,45618787.0
ARG,2024,Indigenous,1306730,0.028644558216771525,45618787.0
ARG,2024,Not Stated,44082585,0.9663252335052223,45618787.0
AUS,2000,Acehnese,67,2.946796068471125e-06,22812914.0
AUS,2000,Acholi,110,4.8229789869236175e-06,22812914.0
AUS,2000,Afgan,12408,0.0005439024580551174,22812914.0
AUS,2000,African American,1201,5.2645619932639906e-05,22812914.0
AUS,2000,"African, so described",11977,0.0005250011875588156,22812914.0
AUS,2000,Afrikaner,1645,7.21082804239739e-05,22812914.0
AUS,2000,Akan,124,5.435517794877059e-06,22812914.0
AUS,2000,Albanian,10458,0.00045842455724858297,22812914.0
AUS,2000,Algerian,696,3.050903536479382e-05,22812914.0
AUS,2000,American,44255,0.0019399100000990668,22812914.0
AUS,2000,Amhara,129,5.657848451464559e-06,22812914.0
AUS,2000,Anglo-Burmese,822,3.6032222801523734e-05,22812914.0
AUS,2000,Anglo-Indian,12327,0.0005403518375600767,22812914.0
AUS,2000,Angolan,114,4.99716958561278e-06,22812914.0
AUS,2000,"Arab, nec (incl. Baggara, Bedouin, Yemeni)",623,2.730909343716458e-05,22812914.0
AUS,2000,"Arab, nfd",15838,0.000694255893832765,22812914.0
AUS,2000,Argentinean,6482,0.00028413730924510566,22812914.0
AUS,2000,Armenian,14666,0.0006428814837069915,22812914.0
AUS,2000,"Asian, so described",3596,0.00015763394435608203,22812914.0
AUS,2000,Assyrian/ Chaldean,18666,0.0008182207674127032,22812914.0
AUS,2000,Australian,6739594,0.29542889610682793,22812914.0
AUS,2000,Australian Aboriginal,94950,0.004162116246964329,22812914.0
AUS,2000,Australian South Sea Islander,3441,0.0001508356188078384,22812914.0
AUS,2000,"Australian peoples, nfd",51,2.239565012038055e-06,22812914.0
AUS,2000,Austrian,38112,0.0016706326951480201,22812914.0
AUS,2000,Azeris,264,1.1551440588406809e-05,22812914.0
AUS,2000,Bahraini,93,4.072737811179944e-06,22812914.0
AUS,2000,Balinese,463,2.031324756532762e-05,22812914.0
AUS,2000,Bangladeshi,20466,0.0008971098173380665,22812914.0
AUS,2000,Barbadian,254,1.1119243831697712e-05,22812914.0
AUS,2000,Bari,67,2.929513162427679e-06,22812914.0
AUS,2000,Basque,454,1.9901008700598267e-05,22812914.0
AUS,2000,Batswana,398,1.744503272534906e-05,22812914.0
AUS,2000,Belarus,1378,6.0404383236617645e-05,22812914.0
AUS,2000,Belgian,7974,0.0003495293043349217,22812914.0
AUS,2000,Bengali,9548,0.0004185348702055336,22812914.0
AUS,2000,Berber,108,4.734160660054213e-06,22812914.0
AUS,2000,Bermudian,203,8.879678819659657e-06,22812914.0
AUS,2000,Bhutanese,2134,9.353006657604468e-05,22812914.0
AUS,2000,Bolivian,473,2.0733870298200398e-05,22812914.0
AUS,2000,Bosnian,17991,0.0007886322632873643,22812914.0
AUS,2000,Brazil,3765,0.00016503810078800105,22812914.0
AUS,2000,Breton,60,2.630089255585674e-06,22812914.0
AUS,2000,British NEC,202,8.859991027830054e-06,22812914.0
AUS,2000,"British, nec (incl. Channel Islander, Guernsey Islander, Manx)",2289,0.00010033790510059346,22812914.0
AUS,2000,"British, nfd",11758,0.0005154098244529393,22812914.0
AUS,2000,Bruneian,212,9.272584962122473e-06,22812914.0
AUS,2000,Bulgarian,4179,0.0001831857166515422,22812914.0
AUS,2000,Burgher,919,4.028420043138724e-05,22812914.0
AUS,2000,Burmese,10559,0.0004628518741621522,22812914.0
AUS,2000,Burundian,2139,9.374442119768573e-05,22812914.0
AUS,2000,Cameroonian,171,7.502411757436739e-06,22812914.0
AUS,2000,Canadian,20007,0.0008770032622750429,22812914.0
AUS,2000,"Caribbean, nfd",1733,7.596574466549955e-05,22812914.0
AUS,2000,"Carribbean Islander, nec (incl.Bahamian, Haitian, Puerto Rican)",723,3.169257552980737e-05,22812914.0
AUS,2000,Catalan,109,4.777995480980641e-06,22812914.0
AUS,2000,"Caucasian, so described",164,7.190182407069544e-06,22812914.0
AUS,2000,"Central American, nec (incl. Belizean, Costa Rican, Mayan)",817,3.5813048696891596e-05,22812914.0
AUS,2000,"Central American, nfd",397,1.7402423907791875e-05,22812914.0
AUS,2000,"Central Asian, nec (incl. Azerbaijani, Chechen, Tatar)",1356,5.944001717623623e-05,22812914.0
