iso3,year,dest_total_migrant_stock,n_origins,origin_hhi
IDN,2000,272821.0,27,0.4728723205876678
IDN,2005,90418.0,27,0.18319742503132735
IDN,2010,96493.0,27,0.182466929784022
IDN,2015,133132.0,27,0.1940847757149621
IDN,2020,290640.0,27,0.22234615032125538
IDN,2024,420676.0,27,0.2418533252416645
MYS,2000,1482589.0,26,0.38183064068996125
MYS,2005,2042096.0,26,0.33555814763087394
MYS,2010,2914872.0,26,0.31415405439169247
MYS,2015,3356058.0,26,0.27460813299951936
MYS,2020,3483620.0,26,0.2793437130086745
MYS,2024,3569533.0,26,0.2852202395480504
USA,2000,31369527.0,57,0.10409198583173732
USA,2005,35533585.0,57,0.11497016895285787
USA,2010,39769676.0,57,0.10671947305846588
USA,2015,43278121.0,57,0.09517081026536596
USA,2020,45295697.0,57,0.08135913712915566
USA,2024,48694117.0,57,0.07473719606412091
