iso3_orig,iso3_dest,year,migrant_stock,dest_total_migrant_stock,orig_total_migrant_stock,origin_share_in_dest_migrants,dest_share_of_origin_emigration
AFG,IDN,2000,78.0,272821.0,41817.0,0.0002859017451002672,0.001865270105459502
AFG,IDN,2005,36.0,90418.0,56537.0,0.00039815081067928954,0.0006367511541114668
AFG,IDN,2010,1548.0,96493.0,60781.0,0.016042614490170273,0.025468485217419918
AFG,IDN,2015,6263.0,133132.0,86729.0,0.04704353573896584,0.07221344648272204
AFG,IDN,2020,7646.0,290640.0,145672.0,0.02630745939994495,0.052487780767752214
AFG,IDN,2024,5979.0,420676.0,208137.0,0.01421283838393443,0.02872627163839202
AFG,MYS,2000,58.0,1482589.0,41817.0,3.91207543021026e-05,0.001386995719444245
AFG,MYS,2005,68.0,2042096.0,56537.0,3.3299120119720134e-05,0.0012027521799883262
AFG,MYS,2010,525.0,2914872.0,60781.0,0.00018011082476348877,0.008637567660946678
AFG,MYS,2015,452.0,3356058.0,86729.0,0.00013468182015924636,0.005211636246238283
AFG,MYS,2020,2574.0,3483620.0,145672.0,0.0007388865605318605,0.01766983359876984
AFG,MYS,2024,2906.0,3569533.0,208137.0,0.0008141120981372073,0.013961957748982642
AFG,USA,2000,41681.0,31369527.0,41817.0,0.0013287098654691223,0.9967477341750962
AFG,USA,2005,56433.0,35533585.0,56537.0,0.0015881594834858345,0.9981604966659002
AFG,USA,2010,58708.0,39769676.0,60781.0,0.001476200107840959,0.9658939471216335
AFG,USA,2015,80014.0,43278121.0,86729.0,0.0018488325775511372,0.9225749172710397
AFG,USA,2020,135452.0,45295697.0,145672.0,0.0029903944297402026,0.929842385633478
AFG,USA,2024,199252.0,48694117.0,208137.0,0.0040919111440094495,0.9573117706126253
ARG,USA,2000,135087.0,31369527.0,135087.0,0.004306312938668154,1.0
ARG,USA,2005,193374.0,35533585.0,193374.0,0.005442006484850881,1.0
ARG,USA,2010,177406.0,39769676.0,177406.0,0.00446083593942279,1.0
ARG,USA,2015,193602.0,43278121.0,193602.0,0.004473438206802001,1.0
ARG,USA,2020,207388.0,45295697.0,207388.0,0.00457853645568143,1.0
ARG,USA,2024,212091.0,48694117.0,212091.0,0.004355577492040774,1.0
AUS,IDN,2000,15250.0,272821.0,20706.0,0.055897456574090704,0.7365014971505843
AUS,IDN,2005,9320.0,90418.0,14776.0,0.10307682098697162,0.6307525717379534
AUS,IDN,2010,8336.0,96493.0,13794.0,0.08638968629848798,0.604320719153255
AUS,IDN,2015,5126.0,133132.0,10582.0,0.03850313974100893,0.48440748440748443
AUS,IDN,2020,2932.0,290640.0,8388.0,0.010088081475364712,0.34954697186456846
AUS,IDN,2024,3880.0,420676.0,9336.0,0.009223250197301486,0.4155955441302485
AUS,MYS,2000,5456.0,1482589.0,20706.0,0.0036800488874529622,0.2634985028494156
AUS,MYS,2005,5456.0,2042096.0,14776.0,0.0026717646966646033,0.36924742826204654
AUS,MYS,2010,5458.0,2914872.0,13794.0,0.0018724664410649935,0.395679280846745
AUS,MYS,2015,5456.0,3356058.0,10582.0,0.001625716838028425,0.5155925155925156
AUS,MYS,2020,5456.0,3483620.0,8388.0,0.0015661868975376189,0.6504530281354316
