iso3,year,orig_total_migrant_stock,n_destinations,destination_hhi
IDN,2000,2187871.0,63,0.19799075351730716
IDN,2005,2470619.0,63,0.24254243215764912
IDN,2010,3106885.0,63,0.2699704869316973
IDN,2015,3351461.0,63,0.2547309506954211
IDN,2020,3546661.0,63,0.25285850386898534
IDN,2024,3856982.0,63,0.23560028626620602
MYS,2000,1261268.0,51,0.37817660115163054
MYS,2005,1398316.0,51,0.362100439985671
MYS,2010,1791971.0,51,0.40605523935959975
MYS,2015,2078438.0,51,0.4358093276547663
MYS,2020,2316851.0,51,0.394440950262016
MYS,2024,2637773.0,51,0.3841772785622211
USA,2000,2066123.0,151,0.07334976168993618
USA,2005,2383313.0,151,0.08232059359582333
USA,2010,2855756.0,151,0.0963160501867073
USA,2015,3071869.0,151,0.09435299841494287
USA,2020,3197871.0,151,0.0906330654516083
USA,2024,3306380.0,151,0.0888560852661136
