iso3_dest,year,scenario_name,dest_ethnic_bucket,origin_ethnic_group,delta_migrants_ethnic
IDN,2025,Aid_HIGH,"Banjar, Melayu Banjar",Malay,0.9671809021904582
IDN,2025,Aid_HIGH,Jawa,Javanese,0.9671809021904582
IDN,2025,Aid_HIGH,Jawa,Jawa Mapun,0.579413827758762
IDN,2025,Aid_HIGH,Madura,Madura,0.9671809021904582
IDN,2025,Aid_HIGH,Other,Abelling,0.579413827758762
IDN,2025,Aid_HIGH,Other,Abiyan,0.579413827758762
IDN,2025,Aid_HIGH,Other,Aburlin,0.579413827758762
IDN,2025,Aid_HIGH,Other,Acehnese,0.9671809021904582
IDN,2025,Aid_HIGH,Other,Achang,113.02662259823626
IDN,2025,Aid_HIGH,Other,Acholi,0.9671809021904582
IDN,2025,Aid_HIGH,Other,Aeta,0.579413827758762
IDN,2025,Aid_HIGH,Other,Aeta/Ayta,0.579413827758762
IDN,2025,Aid_HIGH,Other,Aeta/Ayta-Sambal,0.579413827758762
IDN,2025,Aid_HIGH,Other,Affar,0.10334393876744848
IDN,2025,Aid_HIGH,Other,Afgan,4.084910440852372
IDN,2025,Aid_HIGH,Other,African American,0.9671809021904582
IDN,2025,Aid_HIGH,Other,"African, so described",0.9671809021904582
IDN,2025,Aid_HIGH,Other,Afrikaner,0.9671809021904582
IDN,2025,Aid_HIGH,Other,Agew/Awingi,0.10334393876744848
IDN,2025,Aid_HIGH,Other,Agew/Kamyr,0.10334393876744848
IDN,2025,Aid_HIGH,Other,Aggay,0.579413827758762
IDN,2025,Aid_HIGH,Other,Agta,0.579413827758762
IDN,2025,Aid_HIGH,Other,Agutaynon,0.579413827758762
IDN,2025,Aid_HIGH,Other,Akan,0.9671809021904582
IDN,2025,Aid_HIGH,Other,Akeanon/Aklanon,0.579413827758762
IDN,2025,Aid_HIGH,Other,Alaba,0.10334393876744848
IDN,2025,Aid_HIGH,Other,Alangan,0.579413827758762
IDN,2025,Aid_HIGH,Other,Albanian,0.9671809021904582
IDN,2025,Aid_HIGH,Other,Algerian,0.9671809021904582
IDN,2025,Aid_HIGH,Other,Alta,0.579413827758762
IDN,2025,Aid_HIGH,Other,American,1.5465947299492202
IDN,2025,Aid_HIGH,Other,American Indian and Alaska native,22.11796008091693
IDN,2025,Aid_HIGH,Other,Amhara,1.0705248409579067
IDN,2025,Aid_HIGH,Other,Anglo-Burmese,0.9671809021904582
IDN,2025,Aid_HIGH,Other,Anglo-Indian,0.9671809021904582
IDN,2025,Aid_HIGH,Other,Angolan,0.9671809021904582
IDN,2025,Aid_HIGH,Other,Anyiwak,0.10334393876744848
IDN,2025,Aid_HIGH,Other,Apayao/Yapayao,0.579413827758762
IDN,2025,Aid_HIGH,Other,Applai,0.579413827758762
IDN,2025,Aid_HIGH,Other,"Arab, nec (incl. Baggara, Bedouin, Yemeni)",0.9671809021904582
IDN,2025,Aid_HIGH,Other,"Arab, nfd",0.9671809021904582
IDN,2025,Aid_HIGH,Other,Arborie,0.10334393876744848
IDN,2025,Aid_HIGH,Other,Argentinean,0.9671809021904582
IDN,2025,Aid_HIGH,Other,Argoba,0.10334393876744848
IDN,2025,Aid_HIGH,Other,Ari,0.10334393876744848
IDN,2025,Aid_HIGH,Other,Armenian,0.9671809021904582
IDN,2025,Aid_HIGH,Other,Aromanen-Manobo/Eromanen,0.579413827758762
IDN,2025,Aid_HIGH,Other,Aromanen-Manobo/Eromanen-Manobo,0.579413827758762
IDN,2025,Aid_HIGH,Other,Asian,22.11796008091693
IDN,2025,Aid_HIGH,Other,"Asian, so described",0.9671809021904582
IDN,2025,Aid_HIGH,Other,Asians,14.158032767497895
IDN,2025,Aid_HIGH,Other,Assyrian/ Chaldean,0.9671809021904582
IDN,2025,Aid_HIGH,Other,Ata,0.579413827758762
IDN,2025,Aid_HIGH,Other,Ati,0.579413827758762
IDN,2025,Aid_HIGH,Other,Atta/Ata/Ati,0.579413827758762
IDN,2025,Aid_HIGH,Other,Australian,1.5465947299492202
IDN,2025,Aid_HIGH,Other,Australian Aboriginal,0.9671809021904582
IDN,2025,Aid_HIGH,Other,Australian South Sea Islander,0.9671809021904582
IDN,2025,Aid_HIGH,Other,"Australian peoples, nfd",0.9671809021904582
IDN,2025,Aid_HIGH,Other,Austrian,0.9671809021904582
IDN,2025,Aid_HIGH,Other,Ayangan,0.579413827758762
