iso3_orig,iso3_dest,year,migrant_stock,migrant_stock_pred,migrant_stock_shock,delta_in_od,delta_out_od,delta_stock_od,model_name,view_type,scenario_name
AFG,IDN,2000,78.0,,,,,,HIST,HIST,
AFG,IDN,2005,36.0,,,,,,HIST,HIST,
AFG,IDN,2010,1548.0,,,,,,HIST,HIST,
AFG,IDN,2015,6263.0,,,,,,HIST,HIST,
AFG,IDN,2020,7646.0,,,,,,HIST,HIST,
AFG,IDN,2024,5979.0,,,,,,HIST,HIST,
AFG,IDN,2025,,7490.869455674805,,,,,XGB_OD,FORECAST,
AFG,IDN,2025,,7490.869455674805,7973.760944076806,482.8914884020001,0.0,482.8914884020001,XGB_OD,SCENARIO,Aid_HIGH
AFG,IDN,2025,,7490.869455674805,10767.633126974091,3276.763671299287,0.0,3276.763671299287,XGB_OD,SCENARIO,Aid_HIGH__Conflict_external_HIGH
AFG,IDN,2025,,7490.869455674805,8905.051671709234,1414.1822160344288,0.0,1414.1822160344288,XGB_OD,SCENARIO,Aid_HIGH__Conflict_external_LOW
AFG,IDN,2025,,7490.869455674805,7973.760944076806,482.8914884020001,0.0,482.8914884020001,XGB_OD,SCENARIO,Aid_HIGH__Conflict_internal_HIGH
AFG,IDN,2025,,7490.869455674805,8253.148162366535,762.2787066917291,0.0,762.2787066917291,XGB_OD,SCENARIO,Aid_HIGH__Conflict_internal_HIGH__Conflict_external_HIGH
AFG,IDN,2025,,7490.869455674805,8066.890016840048,576.0205611652431,0.0,576.0205611652431,XGB_OD,SCENARIO,Aid_HIGH__Conflict_internal_HIGH__Conflict_external_LOW
AFG,IDN,2025,,7490.869455674805,7973.760944076806,482.8914884020001,0.0,482.8914884020001,XGB_OD,SCENARIO,Aid_HIGH__Conflict_internal_LOW
AFG,IDN,2025,,7490.869455674805,9929.471472104906,2438.6020164301003,0.0,2438.6020164301003,XGB_OD,SCENARIO,Aid_HIGH__Conflict_internal_LOW__Conflict_external_HIGH
AFG,IDN,2025,,7490.869455674805,8625.664453419506,1134.7949977447004,0.0,1134.7949977447004,XGB_OD,SCENARIO,Aid_HIGH__Conflict_internal_LOW__Conflict_external_LOW
AFG,IDN,2025,,7490.869455674805,7697.822950704233,206.9534950294286,0.0,206.9534950294286,XGB_OD,SCENARIO,Aid_LOW
AFG,IDN,2025,,7490.869455674805,10077.788143542664,2586.918687867858,0.0,2586.918687867858,XGB_OD,SCENARIO,Aid_LOW__Conflict_external_HIGH
AFG,IDN,2025,,7490.869455674805,8491.144681650376,1000.2752259755716,0.0,1000.2752259755716,XGB_OD,SCENARIO,Aid_LOW__Conflict_external_LOW
AFG,IDN,2025,,7490.869455674805,7697.822950704233,206.9534950294286,0.0,206.9534950294286,XGB_OD,SCENARIO,Aid_LOW__Conflict_internal_HIGH
AFG,IDN,2025,,7490.869455674805,7935.819469988077,444.9500143132717,0.0,444.9500143132717,XGB_OD,SCENARIO,Aid_LOW__Conflict_internal_HIGH__Conflict_external_HIGH
AFG,IDN,2025,,7490.869455674805,7777.155123798848,286.285668124043,0.0,286.285668124043,XGB_OD,SCENARIO,Aid_LOW__Conflict_internal_HIGH__Conflict_external_LOW
AFG,IDN,2025,,7490.869455674805,7697.822950704233,206.9534950294286,0.0,206.9534950294286,XGB_OD,SCENARIO,Aid_LOW__Conflict_internal_LOW
AFG,IDN,2025,,7490.869455674805,9363.798585691133,1872.9291300163288,0.0,1872.9291300163288,XGB_OD,SCENARIO,Aid_LOW__Conflict_internal_LOW__Conflict_external_HIGH
AFG,IDN,2025,,7490.869455674805,8253.148162366533,762.2787066917288,0.0,762.2787066917288,XGB_OD,SCENARIO,Aid_LOW__Conflict_internal_LOW__Conflict_external_LOW
AFG,IDN,2025,,7490.869455674805,9560.404405969091,2069.5349502942863,0.0,2069.5349502942863,XGB_OD,SCENARIO,Conflict_external_HIGH
AFG,IDN,2025,,7490.869455674805,8180.714439106234,689.8449834314288,0.0,689.8449834314288,XGB_OD,SCENARIO,Conflict_external_LOW
AFG,IDN,2025,,7490.869455674805,7490.869455674805,0.0,0.0,0.0,XGB_OD,SCENARIO,Conflict_internal_HIGH
AFG,IDN,2025,,7490.869455674805,7697.822950704234,206.9534950294288,0.0,206.9534950294288,XGB_OD,SCENARIO,Conflict_internal_HIGH__Conflict_external_HIGH
AFG,IDN,2025,,7490.869455674805,7559.853954017948,68.98449834314295,0.0,68.98449834314295,XGB_OD,SCENARIO,Conflict_internal_HIGH__Conflict_external_LOW
AFG,IDN,2025,,7490.869455674805,7490.869455674805,0.0,0.0,0.0,XGB_OD,SCENARIO,Conflict_internal_LOW
AFG,IDN,2025,,7490.869455674805,8939.543920880806,1448.6744652060004,0.0,1448.6744652060004,XGB_OD,SCENARIO,Conflict_internal_LOW__Conflict_external_HIGH
AFG,IDN,2025,,7490.869455674805,7973.760944076806,482.8914884020001,0.0,482.8914884020001,XGB_OD,SCENARIO,Conflict_internal_LOW__Conflict_external_LOW
AFG,IDN,2030,,8744.502952828483,,,,,XGB_OD,FORECAST,
AFG,IDN,2035,,9414.954243526525,,,,,XGB_OD,FORECAST,
AUS,IDN,2000,15250.0,,,,,,HIST,HIST,
AUS,IDN,2005,9320.0,,,,,,HIST,HIST,
AUS,IDN,2010,8336.0,,,,,,HIST,HIST,
AUS,IDN,2015,5126.0,,,,,,HIST,HIST,
AUS,IDN,2020,2932.0,,,,,,HIST,HIST,
AUS,IDN,2024,3880.0,,,,,,HIST,HIST,
AUS,IDN,2025,,4918.993031819378,,,,,XGB_OD,FORECAST,
AUS,IDN,2025,,4918.993031819378,5232.359644129087,313.36661230970844,0.0,313.36661230970844,XGB_OD,SCENARIO,Aid_HIGH
AUS,IDN,2025,,4918.993031819378,7045.409329635258,2126.4162978158797,0.0,2126.4162978158797,XGB_OD,SCENARIO,Aid_HIGH__Conflict_external_HIGH
AUS,IDN,2025,,4918.993031819378,5836.70953929781,917.7165074784318,0.0,917.7165074784318,XGB_OD,SCENARIO,Aid_HIGH__Conflict_external_LOW
AUS,IDN,2025,,4918.993031819378,5232.359644129087,313.36661230970844,0.0,313.36661230970844,XGB_OD,SCENARIO,Aid_HIGH__Conflict_internal_HIGH
AUS,IDN,2025,,4918.993031819378,5413.664612679704,494.67158086032566,0.0,494.67158086032566,XGB_OD,SCENARIO,Aid_HIGH__Conflict_internal_HIGH__Conflict_external_HIGH
AUS,IDN,2025,,4918.993031819378,5292.794633645959,373.8016018265809,0.0,373.8016018265809,XGB_OD,SCENARIO,Aid_HIGH__Conflict_internal_HIGH__Conflict_external_LOW
AUS,IDN,2025,,4918.993031819378,5232.359644129087,313.36661230970844,0.0,313.36661230970844,XGB_OD,SCENARIO,Aid_HIGH__Conflict_internal_LOW
AUS,IDN,2025,,4918.993031819378,6501.494423983406,1582.5013921640275,0.0,1582.5013921640275,XGB_OD,SCENARIO,Aid_HIGH__Conflict_internal_LOW__Conflict_external_HIGH
AUS,IDN,2025,,4918.993031819378,5655.404570747193,736.4115389278148,0.0,736.4115389278148,XGB_OD,SCENARIO,Aid_HIGH__Conflict_internal_LOW__Conflict_external_LOW
AUS,IDN,2025,,4918.993031819378,5053.293008523539,134.29997670416077,0.0,134.29997670416077,XGB_OD,SCENARIO,Aid_LOW
AUS,IDN,2025,,4918.993031819378,6597.742740621388,1678.7497088020095,0.0,1678.7497088020095,XGB_OD,SCENARIO,Aid_LOW__Conflict_external_HIGH
AUS,IDN,2025,,4918.993031819378,5568.109585889489,649.1165540701103,0.0,649.1165540701103,XGB_OD,SCENARIO,Aid_LOW__Conflict_external_LOW
AUS,IDN,2025,,4918.993031819378,5053.293008523539,134.29997670416077,0.0,134.29997670416077,XGB_OD,SCENARIO,Aid_LOW__Conflict_internal_HIGH
AUS,IDN,2025,,4918.993031819378,5207.737981733324,288.74494991394573,0.0,288.74494991394573,XGB_OD,SCENARIO,Aid_LOW__Conflict_internal_HIGH__Conflict_external_HIGH
AUS,IDN,2025,,4918.993031819378,5104.774666260134,185.78163444075577,0.0,185.78163444075577,XGB_OD,SCENARIO,Aid_LOW__Conflict_internal_HIGH__Conflict_external_LOW
AUS,IDN,2025,,4918.993031819378,5053.293008523539,134.29997670416077,0.0,134.29997670416077,XGB_OD,SCENARIO,Aid_LOW__Conflict_internal_LOW
AUS,IDN,2025,,4918.993031819378,6134.407820992033,1215.4147891726543,0.0,1215.4147891726543,XGB_OD,SCENARIO,Aid_LOW__Conflict_internal_LOW__Conflict_external_HIGH
AUS,IDN,2025,,4918.993031819378,5413.664612679704,494.6715808603255,0.0,494.6715808603255,XGB_OD,SCENARIO,Aid_LOW__Conflict_internal_LOW__Conflict_external_LOW
AUS,IDN,2025,,4918.993031819378,6261.992798860986,1342.9997670416076,0.0,1342.9997670416076,XGB_OD,SCENARIO,Conflict_external_HIGH
AUS,IDN,2025,,4918.993031819378,5366.659620833248,447.6665890138692,0.0,447.6665890138692,XGB_OD,SCENARIO,Conflict_external_LOW
AUS,IDN,2025,,4918.993031819378,4918.993031819378,0.0,0.0,0.0,XGB_OD,SCENARIO,Conflict_internal_HIGH
AUS,IDN,2025,,4918.993031819378,5053.293008523539,134.29997670416088,0.0,134.29997670416088,XGB_OD,SCENARIO,Conflict_internal_HIGH__Conflict_external_HIGH
AUS,IDN,2025,,4918.993031819378,4963.759690720765,44.76665890138697,0.0,44.76665890138697,XGB_OD,SCENARIO,Conflict_internal_HIGH__Conflict_external_LOW
AUS,IDN,2025,,4918.993031819378,4918.993031819378,0.0,0.0,0.0,XGB_OD,SCENARIO,Conflict_internal_LOW
