iso3,year,scenario,delta_in,delta_out,delta_migrants_2025
AFG,2025,Aid_LOW,0.0,0.0,0.0
ARG,2025,Aid_LOW,0.0,0.0,0.0
AUS,2025,Aid_LOW,0.0,0.0,0.0
BGD,2025,Aid_LOW,0.0,0.0,0.0
BRA,2025,Aid_LOW,0.0,0.0,0.0
BRN,2025,Aid_LOW,0.0,0.0,0.0
CAN,2025,Aid_LOW,0.0,0.0,0.0
CHN,2025,Aid_LOW,0.0,0.0,0.0
COL,2025,Aid_LOW,0.0,0.0,0.0
CUB,2025,Aid_LOW,0.0,0.0,0.0
DEU,2025,Aid_LOW,0.0,0.0,0.0
DOM,2025,Aid_LOW,0.0,0.0,0.0
ECU,2025,Aid_LOW,0.0,0.0,0.0
EGY,2025,Aid_LOW,0.0,0.0,0.0
ERI,2025,Aid_LOW,0.0,0.0,0.0
ESP,2025,Aid_LOW,0.0,0.0,0.0
ETH,2025,Aid_LOW,0.0,0.0,0.0
FRA,2025,Aid_LOW,0.0,0.0,0.0
GBR,2025,Aid_LOW,0.0,0.0,0.0
GHA,2025,Aid_LOW,0.0,0.0,0.0
GRC,2025,Aid_LOW,0.0,0.0,0.0
GTM,2025,Aid_LOW,0.0,0.0,0.0
GUY,2025,Aid_LOW,0.0,0.0,0.0
HKG,2025,Aid_LOW,0.0,0.0,0.0
HND,2025,Aid_LOW,0.0,0.0,0.0
HTI,2025,Aid_LOW,0.0,0.0,0.0
IDN,2025,Aid_LOW,14561.025,0.0,14561.025
IND,2025,Aid_LOW,0.0,0.0,0.0
IRL,2025,Aid_LOW,0.0,0.0,0.0
IRN,2025,Aid_LOW,0.0,0.0,0.0
IRQ,2025,Aid_LOW,0.0,0.0,0.0
ISR,2025,Aid_LOW,0.0,0.0,0.0
ITA,2025,Aid_LOW,0.0,0.0,0.0
JAM,2025,Aid_LOW,0.0,0.0,0.0
JPN,2025,Aid_LOW,0.0,0.0,0.0
KEN,2025,Aid_LOW,0.0,0.0,0.0
KHM,2025,Aid_LOW,0.0,0.0,0.0
KOR,2025,Aid_LOW,0.0,0.0,0.0
LAO,2025,Aid_LOW,0.0,0.0,0.0
LBN,2025,Aid_LOW,0.0,0.0,0.0
LKA,2025,Aid_LOW,0.0,0.0,0.0
MEX,2025,Aid_LOW,0.0,0.0,0.0
MMR,2025,Aid_LOW,0.0,0.0,0.0
MYS,2025,Aid_LOW,42656.1,0.0,42656.1
NGA,2025,Aid_LOW,0.0,0.0,0.0
NIC,2025,Aid_LOW,0.0,0.0,0.0
NPL,2025,Aid_LOW,0.0,0.0,0.0
NZL,2025,Aid_LOW,0.0,0.0,0.0
PAK,2025,Aid_LOW,0.0,0.0,0.0
PAN,2025,Aid_LOW,0.0,0.0,0.0
PER,2025,Aid_LOW,0.0,0.0,0.0
PHL,2025,Aid_LOW,0.0,0.0,0.0
POL,2025,Aid_LOW,0.0,0.0,0.0
PRI,2025,Aid_LOW,0.0,0.0,0.0
PRT,2025,Aid_LOW,0.0,0.0,0.0
PSE,2025,Aid_LOW,0.0,0.0,0.0
ROU,2025,Aid_LOW,0.0,0.0,0.0
RUS,2025,Aid_LOW,0.0,0.0,0.0
SAU,2025,Aid_LOW,0.0,0.0,0.0
SDN,2025,Aid_LOW,0.0,0.0,0.0
SGP,2025,Aid_LOW,0.0,0.0,0.0
SLV,2025,Aid_LOW,0.0,0.0,0.0
SOM,2025,Aid_LOW,0.0,0.0,0.0
SYR,2025,Aid_LOW,0.0,0.0,0.0
THA,2025,Aid_LOW,0.0,0.0,0.0
TLS,2025,Aid_LOW,0.0,0.0,0.0
TTO,2025,Aid_LOW,0.0,0.0,0.0
TUR,2025,Aid_LOW,0.0,0.0,0.0
UKR,2025,Aid_LOW,0.0,0.0,0.0
USA,2025,Aid_LOW,414451.575,0.0,414451.575
VEN,2025,Aid_LOW,0.0,0.0,0.0
