dest_iso3,MAE,RMSE,model_name
IDN,0.0068323123906356515,0.009997349127687532,ETS_BASE
MYS,0.0030050672341678103,0.004536721650059309,ETS_BASE
USA,0.011977197961096434,0.019730633825920926,ETS_BASE
IDN,0.009468762199553341,0.014808181036383518,RF_BASE
MYS,0.007205470973861328,0.008683223187815574,RF_BASE
USA,0.003975470046039405,0.0067760682903982156,RF_BASE
IDN,0.016394421713660498,0.03140357583553822,RF_GDELT
MYS,0.013755736195652568,0.016363953536875295,RF_GDELT
USA,0.002251967697014596,0.0028168425238015733,RF_GDELT
IDN,0.009492135915889948,0.014332755500724624,ET_BASE
MYS,0.004105696951978828,0.004570522330194872,ET_BASE
USA,0.0035758589985519064,0.004890569677313342,ET_BASE
IDN,0.010523103276517447,0.015919369277922122,ET_GDELT
MYS,0.007873638655163905,0.00916093215448369,ET_GDELT
USA,0.005987293595870895,0.009344163337296962,ET_GDELT
IDN,0.0386154290630972,0.05658911833751237,LGBM_BASE
MYS,0.0581562380663495,0.09171508897302223,LGBM_BASE
USA,0.07603317674734521,0.12807959568189825,LGBM_BASE
IDN,0.05315220193344724,0.06811291852881804,LGBM_GDELT
MYS,0.07302400590741642,0.09685819867297991,LGBM_GDELT
USA,0.09395768817418573,0.13160775027867733,LGBM_GDELT
IDN,0.009376977412889401,0.01429332029684568,XGB_BASE
MYS,0.011625746502264141,0.022798486388210904,XGB_BASE
USA,0.005560152902423996,0.008650005464965181,XGB_BASE
IDN,0.010210962257411561,0.015571079980731772,XGB_GDELT
MYS,0.023677170935563263,0.03711478032577239,XGB_GDELT
USA,0.013551134050690666,0.024637994492331623,XGB_GDELT
