model_name,algo,feature_set,MAE,RMSE
NAIVE_PERSISTENCE,NAIVE,BASE,0.005999755530900861,0.009728438455164783
ET_BASE,ET,BASE,0.0061406553611248115,0.009866409199439886
RF_BASE,RF,BASE,0.007103635270973811,0.011174923083660995
ETS_BASE,ETS,BASE,0.007425527302200126,0.013052515160647633
ET_GDELT,ET,GDELT,0.008357309845033484,0.012423523601353582
XGB_BASE,XGB,BASE,0.008775833911207155,0.01578416222521531
RF_GDELT,RF,GDELT,0.011174908476180094,0.021885941151689712
XGB_GDELT,XGB,GDELT,0.014946346558405377,0.025846033374149504
LGBM_BASE,LGBM,BASE,0.055850387599881285,0.09393459521250043
LGBM_GDELT,LGBM,GDELT,0.07155534863931017,0.0998379574541508
