iso3_orig,iso3_dest,year,migrant_stock_pred,model_name
AFG,IDN,2025,7490.869455674805,XGB_OD
AFG,IDN,2030,8744.502952828483,XGB_OD
AFG,IDN,2035,9414.954243526525,XGB_OD
AFG,MYS,2025,3187.380452069638,XGB_OD
AFG,MYS,2030,3287.5365823664,XGB_OD
AFG,MYS,2035,3519.59627528777,XGB_OD
AFG,USA,2025,212665.17098638846,XGB_OD
AFG,USA,2030,204315.1172706529,XGB_OD
AFG,USA,2035,197840.39380162326,XGB_OD
ARG,USA,2025,205789.78521199868,XGB_OD
ARG,USA,2030,204615.0180462579,XGB_OD
ARG,USA,2035,205685.9912384929,XGB_OD
AUS,IDN,2025,4918.993031819378,XGB_OD
AUS,IDN,2030,5002.40402131971,XGB_OD
AUS,IDN,2035,4958.654585422965,XGB_OD
AUS,MYS,2025,5143.129196337264,XGB_OD
AUS,MYS,2030,5022.2502640261755,XGB_OD
AUS,MYS,2035,5079.815030904186,XGB_OD
BGD,MYS,2025,309164.81613698794,XGB_OD
BGD,MYS,2030,328676.78589212534,XGB_OD
BGD,MYS,2035,326536.01790764177,XGB_OD
BGD,USA,2025,381894.5467668044,XGB_OD
BGD,USA,2030,446578.0724209495,XGB_OD
BGD,USA,2035,437641.5134201496,XGB_OD
BRA,USA,2025,764866.3468845065,XGB_OD
BRA,USA,2030,833635.3468262984,XGB_OD
BRA,USA,2035,846015.7596495012,XGB_OD
BRN,MYS,2025,18916.94191381728,XGB_OD
BRN,MYS,2030,18993.46617409617,XGB_OD
BRN,MYS,2035,18879.41666209462,XGB_OD
CAN,USA,2025,934070.9337227374,XGB_OD
CAN,USA,2030,934070.9337227374,XGB_OD
CAN,USA,2035,934070.9337227374,XGB_OD
CHN,IDN,2025,86453.41093900491,XGB_OD
CHN,IDN,2030,90106.71116712753,XGB_OD
CHN,IDN,2035,101823.38632131722,XGB_OD
CHN,MYS,2025,29881.31879106499,XGB_OD
CHN,MYS,2030,30053.19818990076,XGB_OD
CHN,MYS,2035,30099.55155691971,XGB_OD
CHN,USA,2025,2708577.3771346807,XGB_OD
CHN,USA,2030,2708577.3771346807,XGB_OD
CHN,USA,2035,2708577.3771346807,XGB_OD
COL,USA,2025,1142952.4817774477,XGB_OD
COL,USA,2030,1095217.6445859256,XGB_OD
COL,USA,2035,1071449.981605854,XGB_OD
CUB,USA,2025,1408197.316084273,XGB_OD
CUB,USA,2030,1432785.629261461,XGB_OD
CUB,USA,2035,1432785.629261461,XGB_OD
DEU,USA,2025,1123057.4027773128,XGB_OD
DEU,USA,2030,1110509.1336816726,XGB_OD
DEU,USA,2035,1120447.1230013147,XGB_OD
DOM,USA,2025,1413452.7100995374,XGB_OD
DOM,USA,2030,1436315.31230533,XGB_OD
DOM,USA,2035,1436315.31230533,XGB_OD
ECU,USA,2025,585654.5285907065,XGB_OD
ECU,USA,2030,574449.6280535591,XGB_OD
ECU,USA,2035,574449.6280535591,XGB_OD
EGY,USA,2025,265850.481696163,XGB_OD
EGY,USA,2030,275556.4033927001,XGB_OD
EGY,USA,2035,274467.97180664475,XGB_OD
ERI,IDN,2025,185.85356253173612,XGB_OD
ERI,IDN,2030,183.61317174553602,XGB_OD
ERI,IDN,2035,184.57086532823865,XGB_OD
ESP,USA,2025,170338.44134206578,XGB_OD
ESP,USA,2030,172567.39460006155,XGB_OD
ESP,USA,2035,173031.29294942386,XGB_OD
ETH,IDN,2025,236.5253722736903,XGB_OD
ETH,IDN,2030,243.96686377693348,XGB_OD
ETH,IDN,2035,249.0199317751145,XGB_OD
ETH,USA,2025,366452.3233399234,XGB_OD
ETH,USA,2030,387905.93698101677,XGB_OD
ETH,USA,2035,387905.93698101677,XGB_OD
FRA,USA,2025,253003.87004740746,XGB_OD
FRA,USA,2030,252380.43707100168,XGB_OD
FRA,USA,2035,252380.43707100168,XGB_OD
GBR,IDN,2025,1724.9348292965778,XGB_OD
GBR,IDN,2030,1728.9532214846038,XGB_OD
GBR,IDN,2035,1728.9532214846038,XGB_OD
GBR,MYS,2025,3558.5728141392483,XGB_OD
GBR,MYS,2030,3600.6384089962535,XGB_OD
GBR,MYS,2035,3600.6384089962535,XGB_OD
GBR,USA,2025,876370.2772550655,XGB_OD
GBR,USA,2030,876370.2772550655,XGB_OD
GBR,USA,2035,876370.2772550655,XGB_OD
GHA,USA,2025,260549.86966392913,XGB_OD
GHA,USA,2030,272661.0376433539,XGB_OD
GHA,USA,2035,272661.0376433539,XGB_OD
GRC,USA,2025,128517.8851428074,XGB_OD
GRC,USA,2030,129458.81375347982,XGB_OD
GRC,USA,2035,129458.81375347982,XGB_OD
GTM,USA,2025,1292490.772186427,XGB_OD
GTM,USA,2030,1266349.940301886,XGB_OD
GTM,USA,2035,1266349.940301886,XGB_OD
GUY,USA,2025,322877.9759541489,XGB_OD
GUY,USA,2030,322726.5141682065,XGB_OD
GUY,USA,2035,325777.6823359914,XGB_OD
HKG,USA,2025,276222.0699348833,XGB_OD
HKG,USA,2030,275131.00901468063,XGB_OD
HKG,USA,2035,278858.83364739973,XGB_OD
HND,USA,2025,1009036.7514141751,XGB_OD
HND,USA,2030,1075300.9546795916,XGB_OD
HND,USA,2035,1064979.0303876405,XGB_OD
HTI,USA,2025,809130.5979824624,XGB_OD
HTI,USA,2030,807983.9705875597,XGB_OD
HTI,USA,2035,807983.9705875597,XGB_OD
IDN,ARE,2025,292657.7192164872,XGB_OD
IDN,ARE,2030,293338.12011138495,XGB_OD
IDN,ARE,2035,293338.12011138495,XGB_OD
IDN,AUS,2025,258866.65550464593,XGB_OD
IDN,AUS,2030,292340.8320470136,XGB_OD
IDN,AUS,2035,311858.08111250005,XGB_OD
IDN,BEL,2025,3864.280245217223,XGB_OD
IDN,BEL,2030,3865.8435178988843,XGB_OD
IDN,BEL,2035,3865.8435178988843,XGB_OD
IDN,BGD,2025,214886.35177035083,XGB_OD
IDN,BGD,2030,218801.99718658492,XGB_OD
IDN,BGD,2035,218095.96696577864,XGB_OD
