iso3,ethnic_group,year,scenario,base_share,shock_share,delta_share,total_pop_interp,delta_count,delta_migrants_2025,delta_in,delta_out
IDN,"Banjar, Melayu Banjar",2025,Aid_LOW,0.0729086727505534,0.0729086974187706,2.4668217194753193e-08,292774488.82756096,7.222224679481116,14561.025,14561.025,0.0
IDN,"Banjar, Melayu Banjar",2025,Aid_HIGH,0.0729086727505534,0.07290873030972686,5.755917345442411e-08,292774488.82756096,16.851857585455935,33975.725,33975.725,0.0
IDN,"Banjar, Melayu Banjar",2025,Conflict_internal_LOW,0.0729086727505534,0.07290383797135348,-4.8347791999181815e-06,292774488.82756096,-1415.5000088501697,-19414.7,0.0,19414.7
IDN,"Banjar, Melayu Banjar",2025,Conflict_internal_HIGH,0.0729086727505534,0.07289416841295365,-1.4504337599754545e-05,292774488.82756096,-4246.50002655051,-58244.100000000006,0.0,58244.100000000006
IDN,"Banjar, Melayu Banjar",2025,Conflict_external_LOW,0.0729086727505534,0.07290875497794405,8.222739064917731e-08,292774488.82756096,24.074082264937054,48536.75,48536.75,0.0
IDN,"Banjar, Melayu Banjar",2025,Conflict_external_HIGH,0.0729086727505534,0.07290891943272536,2.466821719475319e-07,292774488.82756096,72.22224679481116,145610.25,145610.25,0.0
IDN,"Banjar, Melayu Banjar",2025,Aid_LOW__Conflict_internal_LOW,0.0729086727505534,0.07290386263957069,-4.810110982723428e-06,292774488.82756096,-1408.2777841706886,-4853.675000000001,14561.025,19414.7
IDN,"Banjar, Melayu Banjar",2025,Aid_LOW__Conflict_internal_HIGH,0.0729086727505534,0.07289419308117084,-1.4479669382559793e-05,292774488.82756096,-4239.277801871029,-43683.075000000004,14561.025,58244.100000000006
IDN,"Banjar, Melayu Banjar",2025,Aid_HIGH__Conflict_internal_LOW,0.0729086727505534,0.07290389553052694,-4.7772200264637575e-06,292774488.82756096,-1398.6481512647138,14561.024999999998,33975.725,19414.7
IDN,"Banjar, Melayu Banjar",2025,Aid_HIGH__Conflict_internal_HIGH,0.0729086727505534,0.07289422597212711,-1.4446778426300122e-05,292774488.82756096,-4229.648168965054,-24268.375000000007,33975.725,58244.100000000006
IDN,"Banjar, Melayu Banjar",2025,Aid_LOW__Conflict_external_LOW,0.0729086727505534,0.07290879198026985,1.1922971644130707e-07,292774488.82756096,34.90741928415872,70378.28749999999,70378.28749999999,0.0
IDN,"Banjar, Melayu Banjar",2025,Aid_LOW__Conflict_external_HIGH,0.0729086727505534,0.07290898110326834,3.0835271493441485e-07,292774488.82756096,90.27780849351393,182012.81249999997,182012.81249999997,0.0
IDN,"Banjar, Melayu Banjar",2025,Aid_HIGH__Conflict_external_LOW,0.0729086727505534,0.07290884131670423,1.6856615083081347e-07,292774488.82756096,49.35186864312095,99500.3375,99500.3375,0.0
IDN,"Banjar, Melayu Banjar",2025,Aid_HIGH__Conflict_external_HIGH,0.0729086727505534,0.07290906333065898,3.905801055835923e-07,292774488.82756096,114.35189075845102,230549.56250000003,230549.56250000003,0.0
IDN,"Banjar, Melayu Banjar",2025,Conflict_internal_LOW__Conflict_external_LOW,0.0729086727505534,0.07290389553052694,-4.7772200264637575e-06,292774488.82756096,-1398.6481512647138,14561.024999999998,33975.725,19414.7
IDN,"Banjar, Melayu Banjar",2025,Conflict_internal_LOW__Conflict_external_HIGH,0.0729086727505534,0.07290401064887385,-4.662101679554909e-06,292774488.82756096,-1364.9444360938019,82512.47499999999,101927.17499999999,19414.7
IDN,"Banjar, Melayu Banjar",2025,Conflict_internal_HIGH__Conflict_external_LOW,0.0729086727505534,0.07289417663569271,-1.4496114860689629e-05,292774488.82756096,-4244.092618324016,-53390.425,4853.675000000005,58244.100000000006
IDN,"Banjar, Melayu Banjar",2025,Conflict_internal_HIGH__Conflict_external_HIGH,0.0729086727505534,0.07289419308117084,-1.4479669382559793e-05,292774488.82756096,-4239.277801871029,-43683.075,14561.025000000012,58244.100000000006
IDN,"Banjar, Melayu Banjar",2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_LOW,0.0729086727505534,0.07290392883262016,-4.7439179332508405e-06,292774488.82756096,-1388.8981479474144,34218.40875,53633.10875,19414.7
IDN,"Banjar, Melayu Banjar",2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_HIGH,0.0729086727505534,0.0729040612187191,-4.611531834305665e-06,292774488.82756096,-1350.1388755008657,112362.57624999997,131777.27624999997,19414.7
IDN,"Banjar, Melayu Banjar",2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_LOW,0.0729086727505534,0.07289420253732078,-1.4470213232635135e-05,292774488.82756096,-4236.50928241056,-38101.348750000005,20142.751250000005,58244.100000000006
IDN,"Banjar, Melayu Banjar",2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_HIGH,0.0729086727505534,0.07289422144962061,-1.4451300932785824e-05,292774488.82756096,-4230.972243489625,-26937.896249999994,31306.20375000001,58244.100000000006
IDN,"Banjar, Melayu Banjar",2025,Aid_HIGH__Conflict_internal_LOW__Conflict_external_LOW,0.0729086727505534,0.0729039732354111,-4.699515142300284e-06,292774488.82756096,-1375.8981435243481,60428.25375,79842.95375,19414.7
IDN,"Banjar, Melayu Banjar",2025,Aid_HIGH__Conflict_internal_LOW__Conflict_external_HIGH,0.0729086727505534,0.07290412864517944,-4.544105373973339e-06,292774488.82756096,-1330.3981280436171,152162.71124999996,171577.41124999998,19414.7
